timestamp_ms,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_drops,tx_drops
1747216116206,0,832,0,15,0,0
1747216117299,0,832,0,15,0,0
1747216118380,0,832,0,15,0,0
1747216119475,0,832,0,15,0,0
1747216120587,0,832,0,15,0,0
1747216121722,0,832,0,15,0,0
1747216122871,0,832,0,15,0,0
1747216123999,0,832,0,15,0,0
1747216125116,0,832,0,15,0,0
1747216126265,0,832,0,15,0,0
1747216127397,0,832,0,15,0,0
1747216128530,0,832,0,15,0,0
1747216129643,0,832,0,15,0,0
1747216130748,0,832,0,15,0,0
1747216131860,0,832,0,15,0,0
1747216132984,0,832,0,15,0,0
1747216134110,0,832,0,15,0,0
1747216135217,0,832,0,15,0,0
1747216136298,0,832,0,15,0,0
1747216137386,0,832,0,15,0,0
1747216138463,0,832,0,15,0,0
1747216139553,0,832,0,15,0,0
1747216140644,0,832,0,15,0,0
1747216141755,0,832,0,15,0,0
1747216142883,0,832,0,15,0,0
1747216144053,0,832,0,15,0,0
1747216145200,0,832,0,15,0,0
1747216146331,0,832,0,15,0,0
1747216147470,0,832,0,15,0,0
1747216148598,0,832,0,15,0,0
1747216149703,0,832,0,15,0,0
1747216150804,0,832,0,15,0,0
1747216151991,0,832,0,15,0,0
1747216153088,0,832,0,15,0,0
1747216154196,0,832,0,15,0,0
1747216155294,0,832,0,15,0,0
1747216156383,0,832,0,15,0,0
1747216157473,0,832,0,15,0,0
1747216158565,0,832,0,15,0,0
1747216159644,0,832,0,15,0,0
1747216160759,0,832,0,15,0,0
1747216161871,0,832,0,15,0,0
1747216163013,0,832,0,15,0,0
1747216164147,0,832,0,15,0,0
1747216165275,0,832,0,15,0,0
1747216166390,0,832,0,15,0,0
1747216167512,0,832,0,15,0,0
1747216168658,0,832,0,15,0,0
1747216169752,0,832,0,15,0,0
1747216170892,0,832,0,15,0,0
1747216172019,0,832,0,15,0,0
1747216173134,0,832,0,15,0,0
1747216174278,0,832,0,15,0,0
1747216175366,0,832,0,15,0,0
1747216176453,0,832,0,15,0,0
1747216177571,0,832,0,15,0,0
1747216178704,0,832,0,15,0,0
1747216179853,0,832,0,15,0,0
1747216181001,0,832,0,15,0,0
1747216182120,0,832,0,15,0,0
1747216183254,0,832,0,15,0,0
