timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747109650794,14.52	1598	65	29.17	3.93
1747109652827,14.18	1586	66	28.43	3.83
1747109654861,14.22	1622	65	28.31	3.78
1747109656893,15.56	1686	65	29.33	3.86
1747109658927,14.65	1648	65	29.29	3.95
1747109660968,14.02	1588	65	28.73	3.91
1747109663007,14.08	1619	65	29.15	3.94
1747109665046,17.61	1809	65	30.44	3.98
1747109667090,15.10	1677	64	29.26	3.92
1747109669126,14.99	1660	65	28.99	3.89
1747109671167,14.47	1593	65	29.19	3.94
1747109673209,14.79	1635	64	28.78	3.88
1747109675246,19.78	1870	65	31.41	4.07
1747109677278,14.62	1621	66	28.84	3.93
1747109679310,14.51	1612	66	28.92	3.95
1747109681343,14.35	1595	65	28.78	3.96
1747109683382,16.98	1772	66	29.97	3.96
1747109685419,14.54	1620	66	29.14	3.95
1747109687457,15.42	1658	66	29.35	3.94
1747109689491,15.54	1648	65	29.49	3.95
1747109691523,15.21	1670	65	29.26	3.86
1747109693555,18.12	1782	66	30.49	4.01
1747109695590,14.63	1596	65	29.12	3.98
1747109697624,15.39	1662	65	29.42	3.97
1747109699654,14.80	1621	65	29.09	3.94
1747109701687,14.11	1604	66	28.86	3.95
1747109703720,14.60	1649	66	28.66	3.87
1747109705752,14.31	1619	66	28.88	3.88
1747109707793,15.39	1681	65	29.77	4.00
1747109709838,15.31	1724	66	29.87	4.02
1747109711880,18.48	1861	66	31.18	4.04
1747109713918,14.16	1575	65	29.09	3.95
1747109715960,14.44	1581	66	28.65	3.90
1747109717998,14.56	1593	65	28.54	3.88
1747109720038,15.08	1633	66	28.90	3.92
1747109722077,15.82	1681	66	29.77	3.97
1747109724114,15.31	1646	65	29.23	3.88
1747109726154,15.98	1702	65	30.33	4.04
1747109728198,15.72	1659	65	29.73	3.99
1747109730240,15.36	1648	67	29.65	3.96
1747109732281,15.44	1647	65	29.90	4.01
1747109734323,14.83	1588	66	29.59	3.98
1747109736364,14.84	1574	66	28.96	3.88
1747109738408,14.78	1581	65	28.82	3.85
1747109740443,15.28	1627	66	29.42	3.95
1747109742486,15.59	1604	65	29.26	3.97
1747109744518,14.98	1586	65	28.85	3.84
1747109746560,19.35	1842	66	30.96	3.95
1747109748598,15.34	1625	66	29.12	3.90
1747109750635,14.56	1561	66	29.08	3.96
1747109752678,15.49	1635	65	29.33	3.93
1747109754714,16.53	1699	65	29.92	3.94
1747109756757,14.88	1586	65	29.34	3.97
1747109758794,14.63	1561	65	28.84	3.86
1747109760832,14.79	1544	66	29.06	3.95
