timestamp_ms,cell_id,plmn,signal_dbm,cell_barred
1747094663121,0000000000000010,999/70,-1,false
1747094664159,0000000000000010,999/70,-1,false
1747094665196,0000000000000010,999/70,-1,false
1747094666232,0000000000000010,999/70,-1,false
1747094667269,0000000000000010,999/70,-1,false
1747094668307,0000000000000010,999/70,-1,false
1747094669345,0000000000000010,999/70,-1,false
1747094670382,0000000000000010,999/70,-1,false
1747094671420,0000000000000010,999/70,-1,false
1747094672458,0000000000000010,999/70,-1,false
1747094673495,0000000000000010,999/70,-1,false
1747094674532,0000000000000010,999/70,-1,false
1747094675569,0000000000000010,999/70,-1,false
1747094676605,0000000000000010,999/70,-1,false
1747094677639,0000000000000010,999/70,-1,false
1747094678673,0000000000000010,999/70,-1,false
1747094679709,0000000000000010,999/70,-1,false
1747094680746,0000000000000010,999/70,-1,false
1747094681783,0000000000000010,999/70,-1,false
1747094682818,0000000000000010,999/70,-1,false
1747094683854,0000000000000010,999/70,-1,false
1747094684886,0000000000000010,999/70,-1,false
1747094685923,0000000000000010,999/70,-1,false
1747094686958,0000000000000010,999/70,-1,false
1747094687993,0000000000000010,999/70,-1,false
1747094689028,0000000000000010,999/70,-1,false
1747094690064,0000000000000010,999/70,-1,false
1747094691100,0000000000000010,999/70,-1,false
1747094692136,0000000000000010,999/70,-1,false
1747094693173,0000000000000010,999/70,-1,false
1747094694209,0000000000000010,999/70,-1,false
1747094695243,0000000000000010,999/70,-1,false
1747094696278,0000000000000010,999/70,-1,false
1747094697312,0000000000000010,999/70,-1,false
1747094698345,0000000000000010,999/70,-1,false
1747094699378,0000000000000010,999/70,-1,false
1747094700415,0000000000000010,999/70,-1,false
1747094701449,0000000000000010,999/70,-1,false
1747094702485,0000000000000010,999/70,-1,false
1747094703522,0000000000000010,999/70,-1,false
1747094704558,0000000000000010,999/70,-1,false
1747094705594,0000000000000010,999/70,-1,false
1747094706632,0000000000000010,999/70,-1,false
1747094707668,0000000000000010,999/70,-1,false
1747094708708,0000000000000010,999/70,-1,false
1747094709746,0000000000000010,999/70,-1,false
1747094710784,0000000000000010,999/70,-1,false
1747094711820,0000000000000010,999/70,-1,false
1747094712855,0000000000000010,999/70,-1,false
1747094713889,0000000000000010,999/70,-1,false
1747094714925,0000000000000010,999/70,-1,false
1747094715960,0000000000000010,999/70,-1,false
1747094716996,0000000000000010,999/70,-1,false
1747094718033,0000000000000010,999/70,-1,false
1747094719069,0000000000000010,999/70,-1,false
1747094720106,0000000000000010,999/70,-1,false
1747094721143,0000000000000010,999/70,-1,false
1747094722180,0000000000000010,999/70,-1,false
1747094723218,0000000000000010,999/70,-1,false
1747094724254,0000000000000010,999/70,-1,false
1747094725288,0000000000000010,999/70,-1,false
1747094726325,0000000000000010,999/70,-1,false
1747094727362,0000000000000010,999/70,-1,false
1747094728399,0000000000000010,999/70,-1,false
1747094729433,0000000000000010,999/70,-1,false
1747094730470,0000000000000010,999/70,-1,false
1747094731508,0000000000000010,999/70,-1,false
1747094732545,0000000000000010,999/70,-1,false
1747094733583,0000000000000010,999/70,-1,false
1747094734620,0000000000000010,999/70,-1,false
1747094735657,0000000000000010,999/70,-1,false
1747094736690,0000000000000010,999/70,-1,false
1747094737726,0000000000000010,999/70,-1,false
1747094738763,0000000000000010,999/70,-1,false
1747094739802,0000000000000010,999/70,-1,false
1747094740838,0000000000000010,999/70,-1,false
1747094741874,0000000000000010,999/70,-1,false
1747094742910,0000000000000010,999/70,-1,false
1747094743947,0000000000000010,999/70,-1,false
1747094744983,0000000000000010,999/70,-1,false
1747094746021,0000000000000010,999/70,-1,false
1747094747058,0000000000000010,999/70,-1,false
1747094748092,0000000000000010,999/70,-1,false
1747094749126,0000000000000010,999/70,-1,false
1747094750160,0000000000000010,999/70,-1,false
1747094751198,0000000000000010,999/70,-1,false
1747094752234,0000000000000010,999/70,-1,false
1747094753270,0000000000000010,999/70,-1,false
1747094754306,0000000000000010,999/70,-1,false
1747094755339,0000000000000010,999/70,-1,false
1747094756374,0000000000000010,999/70,-1,false
1747094757408,0000000000000010,999/70,-1,false
1747094758442,0000000000000010,999/70,-1,false
1747094759478,0000000000000010,999/70,-1,false
1747094760514,0000000000000010,999/70,-1,false
1747094761550,0000000000000010,999/70,-1,false
1747094762589,0000000000000010,999/70,-1,false
1747094763619,0000000000000010,999/70,-1,false
1747094764645,0000000000000010,999/70,-1,false
1747094765672,0000000000000010,999/70,-1,false
1747094766702,0000000000000010,999/70,-1,false
