Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
45	3.79	10225	64	26.39	2.69	0.00
46	3.80	9976	64	26.17	2.67	0.00
45	3.77	9828	63	26.01	2.68	0.00
47	3.93	10132	63	25.99	2.68	0.00
46	3.81	9918	64	26.18	2.73	0.00
46	3.80	9754	64	25.95	2.63	0.00
48	3.97	10269	65	26.55	2.75	0.00
46	3.85	9833	65	26.36	2.73	0.00
45	3.78	9684	65	26.24	2.66	0.00
46	3.80	9944	64	26.37	2.72	0.00
46	3.82	10055	63	26.48	2.69	0.00
46	3.82	10049	64	26.44	2.69	0.00
46	3.84	9926	63	26.37	2.73	0.00
45	3.76	10124	65	26.53	2.72	0.00
45	3.79	10413	64	26.21	2.70	0.00
44	3.63	8776	65	26.17	2.72	0.00
43	3.61	8953	64	26.45	2.73	0.00
45	3.74	9235	64	25.57	2.65	0.00
44	3.71	9027	64	26.49	2.81	0.00
44	3.65	9688	64	26.81	2.67	0.00
45	3.74	9906	64	26.97	2.69	0.00
45	3.76	10101	64	27.30	2.73	0.00
45	3.74	10059	63	26.95	2.66	0.00
45	3.76	9894	63	27.00	2.66	0.00
44	3.71	10025	64	27.13	2.70	0.00
45	3.73	9898	64	26.89	2.68	0.00
46	3.84	9920	64	26.59	2.64	0.00
44	3.71	9784	63	26.96	2.69	0.00
46	3.83	9775	64	26.81	2.69	0.00
47	3.89	10221	65	26.27	2.68	0.00
47	3.91	10110	64	26.70	2.70	0.00
46	3.86	10206	65	26.86	2.71	0.00
44	3.69	9537	64	26.26	2.67	0.00
45	3.74	10119	64	27.18	2.71	0.00
45	3.77	10182	64	27.27	2.70	0.00
44	3.68	9466	64	26.34	2.64	0.00
43	3.61	9770	64	26.52	2.72	0.00
45	3.78	9876	63	26.86	2.68	0.00
46	3.80	9803	64	26.80	2.66	0.00
45	3.78	10204	63	27.04	2.70	0.00
45	3.79	10163	64	27.34	2.73	0.00
45	3.74	9795	63	26.85	2.70	0.00
44	3.67	10084	64	26.91	2.69	0.00
45	3.74	9642	65	26.03	2.67	0.00
45	3.74	9847	64	26.59	2.69	0.00
45	3.78	10013	63	26.69	2.68	0.00
45	3.75	9909	64	26.77	2.74	0.00
45	3.78	9818	63	26.60	2.80	0.00
47	3.88	9875	64	26.43	2.75	0.00
44	3.71	10172	64	26.76	2.67	0.00
44	3.64	8841	64	26.57	2.68	0.00
43	3.60	9084	62	27.30	2.72	0.00
42	3.53	8699	64	26.90	2.71	0.00
42	3.54	8554	63	26.74	2.70	0.00
43	3.63	10008	64	26.42	2.72	0.00
46	3.80	10104	63	26.64	2.72	0.00
45	3.78	10055	64	26.85	2.75	0.00
44	3.67	9790	63	26.77	2.69	0.00
43	3.60	9130	63	26.80	2.77	0.00
45	3.73	9771	63	26.83	2.68	0.00
45	3.74	9978	64	26.41	2.72	0.00
44	3.69	8734	63	25.89	2.73	0.00
46	3.80	9889	64	25.89	2.70	0.00
46	3.84	10073	64	26.32	2.76	0.00
48	4.01	10117	63	26.20	2.77	0.00
47	3.89	9935	63	26.04	2.76	0.00
46	3.87	10116	63	26.39	2.75	0.00
45	3.72	10249	63	26.31	2.70	0.00
46	3.87	9883	65	26.16	2.70	0.00
45	3.74	9951	63	26.63	2.72	0.00
47	3.90	9867	64	26.28	2.70	0.00
46	3.82	10056	62	26.38	2.68	0.00
46	3.80	10029	62	26.30	2.65	0.00
47	3.90	9998	64	26.45	2.68	0.00
45	3.77	9925	65	26.15	2.69	0.00
46	3.87	10056	64	26.54	2.73	0.00
46	3.84	10093	64	26.65	2.77	0.00
47	3.88	9756	64	26.03	2.65	0.00
46	3.85	9741	65	25.78	2.71	0.00
44	3.69	10062	65	26.63	2.72	0.00
43	3.61	9849	64	26.07	2.67	0.00
45	3.76	10351	65	26.15	2.73	0.00
46	3.81	10029	64	26.49	2.69	0.00
36	3.02	8234	65	25.55	2.71	0.00
38	3.17	8043	63	25.38	2.74	0.00
38	3.14	8623	63	26.31	2.79	0.00
36	3.01	7709	63	25.86	2.82	0.00
30	2.46	6600	65	25.32	2.84	0.00
27	2.25	5976	62	24.17	2.71	0.00
22	1.85	5123	63	23.72	2.67	0.00
20	1.70	4674	64	23.61	2.67	0.00
21	1.71	4891	64	24.00	2.74	0.00
19	1.56	4402	64	23.14	2.65	0.00
12	1.00	2994	64	22.35	2.65	0.00
12	1.01	3120	65	22.34	2.63	0.00
12	0.96	2639	64	21.59	2.57	0.00
13	1.06	2952	62	22.02	2.62	0.00
12	0.98	2841	63	21.89	2.64	0.00
12	1.02	2705	63	21.95	2.62	0.00
12	0.97	2687	61	21.49	2.58	0.00
4	0.30	1044	61	13.85	1.50	0.00
4	0.31	1208	61	13.98	1.45	0.00
4	0.32	573	61	14.07	1.48	0.00
