Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.33	1039	61	12.80	1.36	0.00
3	0.28	881	62	13.36	1.47	0.00
4	0.30	1176	61	13.66	1.42	0.00
4	0.30	1055	61	13.44	1.42	0.00
4	0.32	1224	62	14.69	1.59	0.00
3	0.29	1014	62	12.96	1.39	0.00
4	0.30	1068	62	13.12	1.43	0.00
3	0.29	1158	62	13.29	1.37	0.00
4	0.31	850	61	12.89	1.44	0.00
4	0.30	1103	62	13.95	1.54	0.00
4	0.32	1010	61	13.56	1.46	0.00
4	0.30	1115	61	13.10	1.40	0.00
3	0.29	880	62	12.69	1.36	0.00
3	0.28	1048	61	14.25	1.56	0.00
7	0.47	1273	62	15.01	1.65	0.00
36	2.56	12260	62	26.65	3.10	0.00
35	2.71	12992	62	27.33	3.13	0.00
36	2.66	12540	63	27.00	3.15	0.00
37	2.66	12840	65	27.20	3.15	0.00
35	2.66	12566	61	27.10	3.17	0.00
36	2.66	12586	62	27.05	3.13	0.00
36	2.67	12842	63	27.30	3.14	0.00
37	2.68	12711	63	27.09	3.13	0.00
36	2.67	12648	63	27.04	3.14	0.00
37	2.66	12811	63	27.31	3.15	0.00
36	2.70	12906	64	27.28	3.14	0.00
36	2.67	12738	62	27.37	3.14	0.00
36	2.68	12872	63	27.33	3.13	0.00
36	2.66	12640	62	27.22	3.16	0.00
44	3.07	13672	63	27.46	3.14	0.00
74	5.10	24165	63	30.07	3.15	0.00
69	5.09	24366	63	30.27	3.18	0.00
82	5.27	24267	65	29.63	3.15	0.00
69	5.06	24160	63	30.01	3.16	0.00
70	5.02	24554	63	30.28	3.16	0.00
74	4.98	23756	64	29.54	3.16	0.00
82	5.42	24527	65	29.84	3.14	0.00
83	5.35	24043	65	29.50	3.16	0.00
71	4.92	24012	64	29.95	3.16	0.00
74	5.19	24248	64	29.82	3.16	0.00
76	5.41	25335	64	30.67	3.17	0.00
105	7.43	35713	65	33.68	3.15	0.00
108	7.60	35790	63	33.85	3.16	0.00
110	7.39	35664	64	33.08	3.18	0.00
103	7.37	35787	64	33.48	3.18	0.00
105	7.39	35817	64	33.20	3.15	0.00
104	7.41	35692	62	33.53	3.13	0.00
114	7.52	35597	65	32.95	3.17	0.00
113	7.30	35576	64	32.71	3.16	0.00
109	7.32	35406	64	32.95	3.12	0.00
111	7.39	35683	64	32.99	3.12	0.00
117	7.96	37927	65	33.98	3.14	0.00
149	10.00	47473	65	36.20	3.16	0.00
148	10.02	46980	65	36.46	3.16	0.00
140	9.88	47255	65	36.81	3.18	0.00
149	9.87	47114	66	36.05	3.18	0.00
159	10.22	47350	65	36.33	3.17	0.00
148	9.93	47099	66	36.56	3.17	0.00
153	10.11	47099	66	36.65	3.19	0.00
149	9.90	47121	64	36.95	3.18	0.00
149	10.01	47532	65	36.52	3.18	0.00
149	9.79	47560	66	36.61	3.18	0.00
142	9.67	47305	65	36.49	3.20	0.00
142	9.74	47482	64	36.83	3.19	0.00
154	10.40	48809	65	37.27	3.18	0.00
195	12.33	58444	64	39.17	3.22	0.00
