Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.30	1109	62	14.22	1.52	0.00
4	0.30	1134	62	14.66	1.60	0.00
4	0.30	1215	63	13.94	1.48	0.00
4	0.31	1162	62	14.71	1.58	0.00
4	0.30	1211	62	14.10	1.49	0.00
3	0.28	784	61	13.30	1.42	0.00
4	0.30	1336	62	15.05	1.66	0.00
3	0.29	697	63	13.35	1.44	0.00
3	0.28	809	63	13.11	1.35	0.00
4	0.32	1143	63	14.52	1.56	0.00
4	0.30	1090	62	14.84	1.62	0.00
3	0.29	1165	62	14.24	1.51	0.00
61	4.24	4144	63	24.45	2.60	0.00
159	6.52	3473	63	48.63	3.21	0.00
158	6.62	2013	64	46.94	3.19	0.00
113	5.68	3334	64	37.01	2.92	0.00
164	6.59	3844	63	49.21	3.32	0.00
133	5.25	2081	64	47.21	2.98	0.00
144	6.10	2739	64	43.62	3.10	0.00
132	5.70	2510	64	41.26	3.07	0.00
283	10.99	3978	65	62.31	3.26	0.00
254	10.71	4143	65	60.86	3.21	0.00
273	11.11	3160	65	62.08	3.28	0.00
266	11.07	2782	65	56.04	3.11	0.00
273	11.58	5408	65	58.14	3.22	0.00
397	17.09	13171	65	70.16	3.66	0.00
395	16.72	5817	65	69.90	3.24	0.00
405	17.45	9489	66	72.20	3.48	0.00
418	17.39	14296	66	70.45	3.33	0.00
423	17.46	8988	66	69.50	3.24	0.00
390	15.94	10337	67	72.05	3.68	0.00
411	16.66	13148	66	72.35	3.64	0.00
409	16.68	11480	66	72.88	3.82	0.00
388	16.11	7572	66	70.55	3.37	0.00
389	16.38	9530	67	68.67	3.56	0.00
381	16.52	22027	67	69.06	3.70	0.00
387	16.64	53391	67	71.22	3.53	0.00
409	17.03	11218	67	71.00	3.71	0.00
404	16.50	13495	68	72.33	3.63	0.00
376	17.14	14631	68	69.00	3.53	0.00
390	17.09	13727	67	69.00	3.30	0.00
414	16.57	5707	68	73.05	3.41	0.00
420	18.02	16323	67	68.12	3.85	0.00
415	16.79	12362	67	73.53	3.54	0.00
367	16.19	43577	67	68.84	3.42	0.00
367	15.69	22386	66	70.54	3.47	0.00
414	17.59	9893	67	70.33	3.37	0.00
413	17.21	16577	67	70.98	3.73	0.00
433	17.86	11421	68	72.58	3.57	0.00
371	16.52	23710	67	68.09	3.48	0.00
405	17.41	7320	67	67.37	3.61	0.00
429	18.97	10649	67	61.91	3.69	0.00
410	16.66	8138	67	70.54	3.23	0.00
380	17.17	5111	67	63.95	3.33	0.00
367	18.15	9460	67	63.40	3.17	0.00
397	17.55	33646	68	72.44	3.36	0.00
383	17.03	49337	68	71.04	3.50	0.00
436	18.01	28494	67	76.44	3.42	0.00
433	17.66	17306	67	75.96	3.68	0.00
407	16.67	18205	68	72.67	3.41	0.00
397	16.71	14453	67	69.79	3.41	0.00
400	16.49	7774	68	70.53	3.37	0.00
396	17.32	20026	67	66.80	3.42	0.00
365	14.79	5532	68	69.47	3.43	0.00
405	16.26	4718	68	72.61	3.30	0.00
379	15.90	7515	68	69.24	3.31	0.00
