Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.32	1279	66	15.04	1.60	0.00
4	0.30	944	67	15.27	1.69	0.00
4	0.31	921	65	14.12	1.51	0.00
4	0.30	1068	66	14.99	1.59	0.00
4	0.31	1405	66	16.03	1.70	0.00
3	0.28	866	65	14.06	1.48	0.00
4	0.31	1237	65	15.45	1.66	0.00
4	0.29	1067	65	14.87	1.58	0.00
3	0.29	857	66	14.17	1.55	0.00
7	0.47	1414	65	16.65	1.83	0.00
115	5.92	2126	66	34.70	3.02	0.00
130	5.55	3213	67	42.10	2.99	0.00
113	4.87	2504	66	39.95	2.87	0.00
116	5.16	2972	66	36.34	2.91	0.00
109	4.93	5063	66	38.84	2.86	0.00
114	5.14	8393	66	38.65	2.87	0.00
119	5.07	5231	66	42.68	3.06	0.00
97	4.18	2331	66	39.70	2.60	0.00
107	5.53	20599	66	42.22	3.06	0.00
112	4.95	4384	67	38.28	3.02	0.00
108	4.63	5429	68	43.27	2.83	0.00
105	4.38	1799	68	40.92	2.61	0.00
113	5.12	2530	68	37.52	2.89	0.00
119	5.34	4091	66	36.53	3.06	0.00
120	5.51	2056	66	35.10	3.01	0.00
223	10.03	20689	67	53.39	3.53	0.00
209	8.86	4441	68	51.18	3.02	0.00
210	9.12	21892	67	57.06	3.14	0.00
223	9.30	4460	68	56.82	3.19	0.00
222	9.08	6104	68	55.23	3.18	0.00
209	9.56	12888	68	52.36	3.32	0.00
233	9.80	5160	67	55.90	3.28	0.00
235	9.36	6169	68	59.36	3.39	0.00
214	8.96	6782	66	55.54	3.36	0.00
227	9.60	4988	67	56.00	3.36	0.00
220	10.04	24040	67	56.62	3.33	0.00
234	10.31	7175	67	50.29	3.30	0.00
283	12.38	7293	68	55.98	3.37	0.00
296	14.08	24889	66	59.32	3.33	0.00
350	15.81	12927	67	65.32	3.37	0.00
360	15.03	7564	67	70.76	3.41	0.00
324	13.61	6443	67	64.82	3.24	0.00
319	13.85	5544	67	61.90	3.11	0.00
322	13.85	13295	68	64.59	3.71	0.00
362	15.75	25839	68	70.56	3.84	0.00
326	14.47	8153	68	63.57	3.41	0.00
365	15.64	4076	67	63.60	3.29	0.00
340	14.81	14000	68	57.23	3.55	0.00
451	19.66	12399	68	71.06	3.38	0.00
419	19.35	27229	67	68.49	3.41	0.00
447	19.96	12118	67	70.70	3.21	0.00
442	19.30	23040	67	74.82	3.32	0.00
436	19.06	28925	68	72.37	3.31	0.00
439	19.54	21405	68	73.22	3.41	0.00
472	21.92	40114	69	74.75	4.79	0.00
497	20.00	19952	70	81.21	3.97	0.00
435	18.19	7287	69	73.98	3.36	0.00
497	20.98	29528	69	76.34	5.24	0.00
562	23.23	38647	69	84.15	6.76	0.00
544	23.10	38512	69	83.25	5.61	0.00
586	25.47	28400	69	85.41	4.19	0.00
569	22.93	13776	69	85.20	3.56	0.00
555	24.03	39655	69	82.62	3.86	0.00
556	26.99	17840	69	79.64	3.64	0.00
601	25.82	39364	68	84.95	4.07	0.00
588	26.42	21141	69	83.09	3.43	0.00
581	26.21	20882	69	83.64	3.97	0.00
556	24.07	11429	69	79.81	3.27	0.00
571	24.74	11438	70	78.95	3.76	0.00
558	25.00	41639	70	82.80	3.77	0.00
594	26.13	25459	70	87.46	3.92	0.00
607	26.69	34246	71	83.90	4.32	0.00
666	29.76	64211	71	92.72	6.51	0.00
788	33.04	36440	71	99.33	4.92	0.00
678	29.10	15367	69	90.99	3.67	0.00
694	29.01	21858	71	92.04	3.46	0.00
652	28.41	19796	70	90.17	3.33	0.00
691	30.42	27212	71	90.11	4.00	0.00
717	29.15	23525	72	97.65	4.50	0.00
763	32.79	52105	71	98.15	5.31	0.00
703	29.09	12834	71	94.73	3.46	0.00
713	30.67	59241	72	94.76	4.96	0.00
760	33.22	90369	71	98.13	6.48	0.00
730	31.87	25636	71	94.78	4.11	0.00
843	35.78	31266	72	103.21	4.36	0.00
792	34.35	11229	71	97.75	3.42	0.00
837	35.16	32568	71	101.83	4.84	0.00
817	34.21	21535	73	100.57	3.73	0.00
873	38.18	90929	72	105.40	6.66	0.00
864	36.61	15974	73	103.37	3.94	0.00
893	37.63	77123	71	105.61	6.68	0.00
870	36.54	26837	72	103.59	3.86	0.00
853	36.29	27365	73	103.97	4.30	0.00
832	36.35	122146	73	102.16	7.49	0.00
888	38.62	65694	73	102.75	5.25	0.00
1026	43.90	56720	74	109.53	6.13	0.00
1078	44.61	102739	73	116.44	7.38	0.00
1082	45.10	86101	74	114.70	6.49	0.00
1080	44.50	63275	73	117.02	5.54	0.00
1070	44.86	69845	73	113.75	5.26	0.00
1045	43.81	82400	75	111.67	6.64	0.00
1065	44.04	77868	74	115.69	6.24	0.00
1084	45.24	86369	75	114.56	7.28	0.00
1087	46.54	94843	75	116.75	7.88	0.00
1119	46.54	80479	75	117.64	6.38	0.00
1044	43.62	109083	75	113.89	7.15	0.00
1103	46.47	39243	74	119.08	5.55	0.00
1048	43.38	19813	75	115.70	3.44	0.00
1021	43.08	40450	75	113.16	4.64	0.00
1055	44.31	51488	74	116.17	5.98	0.00
1071	44.55	72749	74	115.24	6.23	0.00
1008	41.71	40985	75	112.75	3.96	0.00
971	41.98	76818	75	107.74	5.98	0.00
1071	44.79	85896	74	118.16	7.53	0.00
1049	43.63	82513	74	113.16	5.83	0.00
1054	45.04	60857	74	114.23	4.91	0.00
1001	42.46	112514	75	114.00	7.19	0.00
1057	44.33	81049	75	113.70	5.91	0.00
1104	44.85	50156	75	116.17	5.12	0.00
1076	44.98	62240	75	113.88	5.25	0.00
1057	43.91	38185	75	116.77	5.16	0.00
1014	42.70	33422	76	113.87	4.85	0.00
1054	43.74	61586	76	115.54	6.11	0.00
1013	42.71	70235	77	111.83	6.01	0.00
