Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.31	1400	64	15.30	1.70	0.00
3	0.27	614	63	13.15	1.44	0.00
4	0.30	1308	63	15.29	1.68	0.00
4	0.30	1039	64	14.57	1.60	0.00
4	0.30	1045	63	14.08	1.55	0.00
4	0.32	1245	63	15.67	1.73	0.00
4	0.31	1049	63	14.54	1.56	0.00
4	0.32	895	63	13.94	1.54	0.00
8	0.58	1253	63	15.68	1.76	0.00
12	1.00	3161	65	22.68	2.66	0.00
12	0.99	2749	64	22.45	2.62	0.00
11	0.91	2920	63	22.35	2.65	0.00
12	0.98	2807	64	22.49	2.67	0.00
12	1.01	3038	65	22.72	2.66	0.00
12	1.01	3095	64	22.99	2.70	0.00
12	1.00	2920	64	22.64	2.65	0.00
12	1.04	3048	63	22.62	2.64	0.00
12	1.01	2778	64	22.46	2.67	0.00
12	1.00	3113	63	22.85	2.71	0.00
12	0.99	2806	63	22.26	2.64	0.00
12	0.99	3114	63	22.89	2.65	0.00
13	1.06	2915	63	22.59	2.74	0.00
21	1.69	4468	63	25.14	2.95	0.00
21	1.76	4592	62	24.26	2.82	0.00
20	1.70	4772	63	23.68	2.72	0.00
21	1.72	4392	63	23.28	2.70	0.00
20	1.65	4619	63	23.40	2.69	0.00
21	1.75	4789	63	23.38	2.69	0.00
21	1.72	4594	64	22.92	2.64	0.00
20	1.71	4932	65	23.51	2.68	0.00
20	1.66	4580	63	23.21	2.65	0.00
20	1.64	4541	63	23.29	2.66	0.00
27	2.19	5675	64	24.52	2.77	0.00
29	2.43	6702	64	24.65	2.72	0.00
30	2.46	6421	64	24.50	2.71	0.00
29	2.43	6150	64	24.31	2.71	0.00
29	2.46	6683	63	24.84	2.70	0.00
29	2.43	6275	62	24.56	2.71	0.00
29	2.43	6593	63	24.43	2.69	0.00
28	2.35	6513	63	24.68	2.75	0.00
30	2.42	5613	64	24.78	2.73	0.00
35	2.89	6704	65	25.22	2.71	0.00
36	2.96	7226	62	25.83	2.74	0.00
36	3.04	7020	63	25.05	2.70	0.00
37	3.10	8273	63	25.09	2.65	0.00
37	3.07	8283	64	25.22	2.73	0.00
35	2.91	7313	63	24.61	2.67	0.00
36	3.02	7726	63	25.25	2.72	0.00
35	2.95	6997	63	24.90	2.68	0.00
36	3.02	7503	63	25.28	2.75	0.00
38	3.20	8274	64	25.18	2.70	0.00
36	2.97	8587	63	25.41	2.72	0.00
35	2.95	8205	62	24.88	2.70	0.00
37	3.08	8176	64	24.97	2.67	0.00
38	3.21	8520	63	25.62	2.76	0.00
37	3.11	7883	62	24.47	2.64	0.00
38	3.19	8296	63	25.16	2.70	0.00
42	3.41	7540	63	25.85	2.86	0.00
43	3.61	9374	63	28.27	3.13	0.00
46	3.82	9852	63	26.61	2.85	0.00
45	3.77	10079	62	26.68	2.78	0.00
45	3.72	9601	64	26.51	2.73	0.00
44	3.67	9246	64	27.33	2.84	0.00
44	3.66	9314	64	27.41	2.83	0.00
44	3.68	9502	64	27.53	2.78	0.00
45	3.71	9994	63	27.67	2.75	0.00
46	3.82	9816	64	27.10	2.75	0.00
46	3.83	9713	63	26.63	2.72	0.00
46	3.80	10182	63	27.44	2.74	0.00
52	4.22	10784	63	28.54	2.99	0.00
52	4.31	10917	63	28.61	3.03	0.00
52	4.31	11084	63	27.64	2.75	0.00
55	4.56	11797	62	27.91	2.80	0.00
54	4.49	11712	64	27.55	2.77	0.00
56	4.63	11783	63	28.01	2.82	0.00
54	4.49	11185	64	27.63	2.70	0.00
55	4.61	11225	64	27.33	2.82	0.00
53	4.38	9924	63	27.61	2.80	0.00
56	4.55	10498	64	28.32	2.86	0.00
61	5.11	13172	64	29.14	2.78	0.00
62	5.17	13639	63	29.40	2.75	0.00
62	5.13	13071	64	28.30	2.71	0.00
63	5.26	13322	63	28.59	2.70	0.00
61	5.06	12688	64	28.47	2.73	0.00
60	5.02	12899	63	28.81	2.77	0.00
62	5.13	13547	63	28.54	2.70	0.00
64	5.38	13171	64	28.71	2.72	0.00
63	5.24	13019	62	28.39	2.69	0.00
69	5.63	13861	64	29.47	2.84	0.00
74	6.17	15309	64	29.65	2.83	0.00
73	6.11	15309	64	28.91	2.72	0.00
72	6.02	15347	63	29.41	2.76	0.00
70	5.86	15004	63	29.48	2.76	0.00
71	5.94	13687	64	28.77	2.77	0.00
71	5.93	14061	64	29.07	2.76	0.00
70	5.80	13271	64	28.74	2.72	0.00
72	6.02	14971	63	29.11	2.83	0.00
72	6.03	15143	64	29.86	3.04	0.00
74	6.16	15342	65	30.17	2.87	0.00
74	6.16	14877	63	29.62	2.84	0.00
73	6.09	14549	64	29.39	2.75	0.00
75	6.26	14933	63	29.40	2.73	0.00
76	6.35	15416	63	29.58	2.74	0.00
73	6.12	15765	63	29.86	2.80	0.00
74	6.21	15142	63	29.72	2.74	0.00
73	6.08	15396	62	29.13	2.70	0.00
71	5.93	13770	63	29.15	2.86	0.00
76	6.32	14931	64	28.85	2.91	0.00
71	5.94	13989	63	29.10	2.79	0.00
70	5.83	13933	63	28.79	2.74	0.00
70	5.80	13912	62	29.02	2.73	0.00
71	5.91	14259	63	29.57	2.84	0.00
73	6.07	15484	64	29.95	2.92	0.00
74	6.21	15169	64	28.85	2.74	0.00
73	6.10	15436	64	29.92	2.87	0.00
70	5.86	14916	64	29.26	2.80	0.00
72	5.97	13806	64	28.73	2.70	0.00
71	5.94	13761	63	28.92	2.74	0.00
70	5.81	13891	64	29.35	2.72	0.00
73	6.09	15247	64	29.36	2.73	0.00
73	6.10	15325	63	28.94	2.71	0.00
73	6.06	15706	62	29.43	2.78	0.00
69	5.79	14174	63	28.74	2.66	0.00
69	5.79	13911	64	29.32	2.77	0.00
73	6.08	14397	62	29.58	2.79	0.00
72	5.97	13654	63	29.26	2.84	0.00
72	5.98	14278	62	29.12	2.76	0.00
73	6.07	14934	63	29.10	2.84	0.00
74	6.20	14943	63	29.31	2.77	0.00
72	6.04	15107	64	29.53	2.83	0.00
70	5.81	14214	62	29.39	2.76	0.00
70	5.79	13159	64	29.30	2.79	0.00
74	6.20	15464	63	29.55	2.83	0.00
73	6.12	15229	64	29.34	2.76	0.00
70	5.88	15095	64	29.84	2.75	0.00
70	5.80	14422	63	29.75	2.74	0.00
72	5.97	15122	65	29.43	2.74	0.00
73	6.08	15357	64	29.13	2.71	0.00
73	6.12	15133	64	28.97	2.72	0.00
71	5.94	14382	64	28.78	2.78	0.00
73	6.08	14790	63	28.86	2.74	0.00
69	5.78	13952	64	29.37	2.76	0.00
71	5.94	14962	63	29.66	2.76	0.00
73	6.08	15172	63	29.52	2.78	0.00
