Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
3	0.29	887	61	13.11	1.39	0.00
4	0.32	1340	61	14.44	1.54	0.00
4	0.30	734	61	12.29	1.28	0.00
3	0.28	1110	60	13.68	1.46	0.00
4	0.29	1031	61	13.55	1.48	0.00
4	0.32	1409	61	13.75	1.45	0.00
4	0.30	1003	62	14.07	1.51	0.00
4	0.32	1211	62	14.03	1.50	0.00
4	0.32	1188	61	13.91	1.49	0.00
4	0.30	796	60	13.10	1.44	0.00
10	0.73	2488	62	16.00	1.77	0.00
36	2.68	12797	62	26.92	3.20	0.00
36	2.68	12570	62	26.72	3.19	0.00
36	2.64	12684	62	26.66	3.20	0.00
35	2.66	12821	64	26.72	3.20	0.00
35	2.68	12669	63	26.75	3.18	0.00
36	2.68	12902	63	26.88	3.19	0.00
36	2.70	12806	63	26.76	3.18	0.00
36	2.69	12706	63	26.74	3.18	0.00
36	2.70	12879	64	26.64	3.20	0.00
36	2.64	12793	64	26.75	3.20	0.00
36	2.69	12563	64	26.68	3.22	0.00
36	2.66	12442	62	26.52	3.17	0.00
36	2.67	12956	64	26.99	3.19	0.00
61	4.43	20236	63	29.05	3.22	0.00
70	5.01	24330	63	30.22	3.21	0.00
68	5.10	24297	64	30.27	3.21	0.00
70	5.03	24012	63	30.18	3.20	0.00
69	5.09	24562	63	30.54	3.24	0.00
69	5.08	24286	63	30.30	3.21	0.00
70	5.02	24420	62	30.02	3.21	0.00
69	5.15	24028	64	30.19	3.21	0.00
71	5.01	24115	63	30.01	3.20	0.00
68	5.10	24342	61	30.15	3.22	0.00
69	5.06	24323	64	30.12	3.23	0.00
70	5.02	24378	62	30.32	3.23	0.00
70	5.03	24140	63	30.21	3.23	0.00
76	5.43	25198	62	30.80	3.22	0.00
105	7.41	35981	63	33.73	3.22	0.00
108	7.45	35829	63	33.27	3.23	0.00
106	7.50	35722	64	33.22	3.20	0.00
109	7.53	35717	63	33.33	3.23	0.00
104	7.49	35893	63	33.69	3.23	0.00
104	7.29	35647	64	33.29	3.20	0.00
109	7.49	35402	64	32.82	3.20	0.00
105	7.45	35848	64	33.27	3.22	0.00
106	7.29	35509	65	33.27	3.22	0.00
119	8.33	39557	64	34.68	3.22	0.00
144	9.83	47498	63	36.85	3.23	0.00
150	9.97	46997	64	36.55	3.22	0.00
149	9.77	47238	63	36.59	3.22	0.00
151	10.02	46917	63	36.63	3.24	0.00
148	9.78	47173	64	36.73	3.23	0.00
148	9.87	47301	62	36.94	3.21	0.00
139	9.69	47334	64	37.09	3.24	0.00
146	9.93	47105	63	36.62	3.24	0.00
143	9.71	47189	63	37.10	3.21	0.00
144	9.84	47523	64	37.20	3.24	0.00
146	9.99	47244	63	36.42	3.21	0.00
175	11.60	54326	64	38.77	3.22	0.00
189	12.41	58572	64	39.97	3.23	0.00
185	12.31	58293	64	40.15	3.22	0.00
187	12.27	58587	63	40.09	3.24	0.00
196	12.45	58722	64	39.79	3.23	0.00
189	12.45	58140	63	39.69	3.24	0.00
180	12.28	58673	63	40.68	3.24	0.00
184	12.26	58787	64	40.13	3.21	0.00
181	12.46	58350	63	39.97	3.22	0.00
182	12.34	58927	64	40.40	3.22	0.00
195	12.52	58770	64	39.82	3.21	0.00
193	12.60	58838	63	40.44	3.23	0.00
215	14.07	66545	63	42.43	3.23	0.00
229	14.97	70376	64	43.66	3.24	0.00
220	14.63	69986	65	43.81	3.24	0.00
221	14.59	70332	64	43.46	3.25	0.00
221	14.52	70470	64	43.56	3.24	0.00
233	15.15	69684	65	43.24	3.25	0.00
228	14.77	70411	64	42.49	3.23	0.00
232	15.06	70483	65	43.23	3.23	0.00
226	14.71	70269	65	42.98	3.23	0.00
223	14.59	70420	64	43.11	3.22	0.00
226	14.97	70207	64	43.32	3.22	0.00
230	14.86	69942	65	43.32	3.24	0.00
228	14.83	70001	65	43.13	3.23	0.00
232	14.84	70108	64	42.85	3.25	0.00
236	14.83	68848	65	42.78	3.28	0.00
222	14.52	70065	65	43.49	3.31	0.00
222	14.57	70329	65	43.55	3.26	0.00
227	14.91	70646	65	43.93	3.27	0.00
298	17.82	82296	65	45.77	3.36	0.00
276	17.14	81264	65	46.49	3.22	0.00
280	17.47	81256	65	45.96	3.25	0.00
271	17.33	81329	66	45.80	3.24	0.00
277	17.48	81646	65	46.60	3.26	0.00
270	17.11	82749	65	46.65	3.24	0.00
269	17.23	82466	65	46.57	3.24	0.00
264	16.92	81719	64	46.64	3.27	0.00
289	17.82	81355	65	45.28	3.31	0.00
278	17.32	82134	66	45.81	3.27	0.00
275	17.58	81918	65	46.45	3.26	0.00
277	17.47	81683	66	46.80	3.24	0.00
278	17.61	81520	65	46.17	3.26	0.00
288	17.77	81970	66	46.55	3.37	0.00
275	17.14	81685	65	46.51	3.30	0.00
280	17.42	81320	66	46.31	3.26	0.00
291	17.98	81784	65	45.39	3.23	0.00
283	17.57	81816	65	46.08	3.24	0.00
279	17.49	81381	65	46.51	3.34	0.00
284	17.62	81960	65	46.24	3.29	0.00
275	17.10	81326	66	46.48	3.26	0.00
