Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.32	1400	63	15.38	1.64	0.00
3	0.28	976	63	13.85	1.48	0.00
3	0.28	586	62	12.72	1.26	0.00
12	0.91	2249	63	19.76	2.26	0.00
12	1.01	3150	63	22.36	2.67	0.00
13	1.08	3015	63	22.38	2.63	0.00
12	1.00	3049	62	22.40	2.64	0.00
12	1.02	2936	62	22.38	2.65	0.00
12	1.01	3020	64	22.45	2.64	0.00
12	1.01	2930	62	22.22	2.62	0.00
12	1.04	3243	64	22.93	2.67	0.00
12	1.00	2625	63	21.67	2.57	0.00
12	0.97	2797	63	22.01	2.64	0.00
12	0.97	2806	63	22.04	2.62	0.00
11	0.95	2610	63	21.56	2.59	0.00
12	1.02	3322	62	22.82	2.66	0.00
12	1.00	2905	62	22.24	2.63	0.00
12	0.97	2868	63	22.01	2.64	0.00
12	1.00	3043	63	22.31	2.63	0.00
12	1.00	3116	63	22.35	2.65	0.00
12	0.97	2780	63	21.69	2.60	0.00
12	0.97	2646	63	21.67	2.59	0.00
12	1.02	3168	63	22.28	2.63	0.00
11	0.93	2802	63	21.85	2.61	0.00
11	0.93	2929	63	21.63	2.59	0.00
12	1.00	2870	62	22.12	2.63	0.00
11	0.96	2850	63	21.92	2.64	0.00
18	1.43	3840	62	23.50	2.77	0.00
21	1.74	4843	63	24.60	2.81	0.00
22	1.80	4637	63	24.05	2.79	0.00
21	1.78	4763	63	24.06	2.80	0.00
22	1.80	4782	63	24.28	2.84	0.00
28	2.19	5286	64	25.20	2.88	0.00
31	2.56	6564	62	25.96	2.92	0.00
29	2.46	6445	63	25.50	2.84	0.00
27	2.27	6592	63	24.78	2.67	0.00
28	2.36	5986	62	24.72	2.70	0.00
37	2.92	7433	62	26.44	2.81	0.00
29	2.40	6378	63	24.99	2.66	0.00
30	2.47	6240	63	24.39	2.72	0.00
30	2.53	6715	63	25.38	2.80	0.00
30	2.52	6344	63	24.88	2.75	0.00
29	2.42	6495	63	25.23	2.72	0.00
28	2.34	6376	63	24.70	2.64	0.00
28	2.35	6629	63	24.99	2.64	0.00
28	2.36	6448	63	25.10	2.67	0.00
28	2.32	6565	64	25.01	2.69	0.00
31	2.57	6911	64	25.54	2.71	0.00
28	2.38	6332	63	24.76	2.66	0.00
28	2.31	6324	63	24.64	2.64	0.00
29	2.38	6360	63	24.75	2.67	0.00
30	2.46	6636	63	24.83	2.65	0.00
29	2.42	6507	63	24.62	2.69	0.00
29	2.39	6679	63	24.81	2.67	0.00
28	2.35	6205	62	24.58	2.62	0.00
28	2.36	6820	64	25.13	2.69	0.00
27	2.29	6500	64	24.87	2.66	0.00
27	2.29	6557	63	24.58	2.67	0.00
28	2.37	6572	63	25.04	2.66	0.00
27	2.27	6036	63	24.01	2.61	0.00
30	2.44	6636	63	25.03	2.67	0.00
35	2.93	7907	63	26.19	2.71	0.00
36	3.04	8369	63	26.10	2.68	0.00
37	3.06	8138	63	25.67	2.62	0.00
35	2.95	8224	63	25.87	2.68	0.00
37	3.06	8161	63	26.13	2.67	0.00
37	3.11	8408	63	26.09	2.66	0.00
37	3.11	8546	63	26.56	2.73	0.00
37	3.07	8191	63	26.06	2.69	0.00
36	3.03	7652	63	25.84	2.76	0.00
38	3.19	8364	62	26.48	2.81	0.00
37	3.09	8035	64	26.17	2.77	0.00
39	3.26	8118	63	26.17	2.78	0.00
39	3.25	8393	64	26.44	2.80	0.00
40	3.30	8214	63	25.64	2.71	0.00
40	3.31	8436	63	26.05	2.78	0.00
39	3.25	8220	63	26.19	2.81	0.00
38	3.18	8130	63	25.85	2.78	0.00
38	3.14	8156	64	25.46	2.67	0.00
39	3.21	8160	63	25.47	2.69	0.00
37	3.06	8019	63	25.62	2.70	0.00
37	3.08	7916	63	25.51	2.69	0.00
37	3.10	8341	63	26.14	2.73	0.00
38	3.13	8398	63	26.20	2.70	0.00
37	3.12	8395	63	26.17	2.72	0.00
36	2.96	8113	63	25.95	2.65	0.00
37	3.07	8224	63	25.84	2.67	0.00
37	3.09	8513	64	26.36	2.70	0.00
36	2.96	7921	63	25.43	2.65	0.00
34	2.86	7274	64	25.30	2.68	0.00
36	3.03	7933	63	25.92	2.67	0.00
36	2.98	8114	63	25.78	2.67	0.00
35	2.95	8170	63	25.79	2.68	0.00
36	2.97	8348	63	25.64	2.63	0.00
37	3.06	8036	63	25.51	2.64	0.00
37	3.11	8390	63	26.15	2.70	0.00
36	3.01	8082	63	25.98	2.75	0.00
37	3.10	8158	64	25.98	2.80	0.00
36	2.97	8398	63	25.36	2.70	0.00
38	3.14	7931	64	25.01	2.68	0.00
36	3.03	8203	64	25.26	2.71	0.00
36	3.03	8065	63	25.02	2.65	0.00
38	3.19	8609	65	25.45	2.71	0.00
37	3.07	8242	64	24.90	2.69	0.00
35	2.96	8234	65	25.26	2.69	0.00
38	3.20	7988	63	25.04	2.64	0.00
39	3.20	8277	63	25.36	2.66	0.00
37	3.09	8387	62	25.33	2.71	0.00
38	3.16	7993	64	24.42	2.67	0.00
39	3.23	8368	64	24.96	2.66	0.00
37	3.10	8109	63	25.16	2.64	0.00
38	3.13	8144	63	25.22	2.66	0.00
38	3.12	8280	63	25.42	2.68	0.00
39	3.24	8448	63	25.38	2.69	0.00
38	3.18	8232	63	25.09	2.65	0.00
37	3.13	8716	64	25.88	2.75	0.00
35	2.96	8187	63	25.85	2.64	0.00
36	2.99	7994	65	25.86	2.65	0.00
36	3.04	8339	65	25.94	2.61	0.00
36	2.97	8048	65	25.82	2.62	0.00
35	2.88	6966	64	25.82	2.70	0.00
35	2.94	7625	63	25.66	2.65	0.00
36	3.04	8329	62	25.93	2.70	0.00
35	2.95	7829	63	25.63	2.67	0.00
36	3.03	7665	65	25.78	2.69	0.00
38	3.17	8537	63	26.68	2.81	0.00
38	3.15	8099	63	26.36	2.78	0.00
37	3.06	8193	63	26.30	2.75	0.00
38	3.17	6840	63	26.17	2.83	0.00
38	3.14	8141	62	26.27	2.73	0.00
37	3.10	7891	64	26.41	2.74	0.00
34	2.85	6837	65	25.57	2.64	0.00
34	2.87	6684	64	25.47	2.73	0.00
36	3.01	6965	63	25.83	2.76	0.00
33	2.78	7094	62	25.86	2.67	0.00
34	2.85	6606	62	25.19	2.64	0.00
36	3.01	7959	64	25.77	2.69	0.00
38	3.20	8378	64	25.71	2.72	0.00
37	3.05	8138	62	25.28	2.63	0.00
37	3.09	8234	63	25.64	2.67	0.00
37	3.08	8049	63	25.69	2.67	0.00
36	3.03	8092	63	25.28	2.63	0.00
38	3.16	8159	62	25.76	2.70	0.00
37	3.05	8297	62	25.78	2.69	0.00
35	2.93	7711	63	25.74	2.66	0.00
33	2.79	6936	64	25.72	2.66	0.00
35	2.88	7491	64	25.72	2.67	0.00
36	2.96	8371	63	26.00	2.69	0.00
37	3.11	8080	63	25.59	2.66	0.00
37	3.12	8475	64	26.05	2.73	0.00
37	3.11	8040	64	25.71	2.65	0.00
36	3.01	7846	64	25.19	2.60	0.00
35	2.91	6941	64	25.64	2.71	0.00
37	3.06	8395	63	25.56	2.72	0.00
37	3.09	8501	64	25.71	2.72	0.00
37	3.10	8051	64	26.00	2.76	0.00
36	3.01	8257	64	25.95	2.65	0.00
