Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
227	9.11	4262	64	56.92	3.09	0.00
216	9.20	2617	65	51.96	3.10	0.00
215	9.86	12213	65	45.13	3.11	0.00
231	10.74	11017	65	54.28	3.12	0.00
216	10.06	16974	64	48.12	3.17	0.00
252	11.65	7346	65	52.60	3.17	0.00
222	11.02	13736	64	43.74	3.14	0.00
234	10.06	3574	65	48.06	3.23	0.00
213	9.79	4755	65	55.17	3.17	0.00
225	9.28	3907	65	55.39	3.04	0.00
205	8.73	4763	65	54.75	3.14	0.00
214	8.47	3487	66	55.69	3.02	0.00
207	8.13	4282	65	55.62	3.01	0.00
222	9.65	6081	65	55.40	3.08	0.00
227	9.81	5030	65	49.15	3.15	0.00
210	9.02	4054	65	53.00	3.08	0.00
232	9.61	5790	65	56.02	3.10	0.00
230	10.48	2851	65	55.04	3.16	0.00
225	11.09	3636	65	54.72	3.12	0.00
232	9.53	2873	66	51.89	3.20	0.00
203	8.69	3949	65	51.20	3.08	0.00
231	9.92	2629	66	51.45	3.22	0.00
232	10.25	3607	65	46.16	3.27	0.00
205	9.22	20459	66	52.94	3.10	0.00
210	9.11	7078	65	52.65	3.16	0.00
190	8.89	23652	66	51.92	3.07	0.00
242	10.85	2457	65	47.58	3.14	0.00
221	9.09	3185	66	52.39	3.07	0.00
219	10.33	2977	65	55.41	3.16	0.00
228	8.96	3438	66	57.65	3.02	0.00
215	9.04	6165	65	53.67	3.11	0.00
212	9.17	5026	65	51.25	3.07	0.00
222	9.38	2691	65	52.38	3.06	0.00
206	8.75	4375	65	50.97	3.06	0.00
213	9.18	3012	65	51.52	3.01	0.00
227	10.16	5862	65	45.81	3.18	0.00
219	9.48	2438	65	48.30	3.07	0.00
227	10.21	6217	66	52.65	3.06	0.00
232	9.86	4531	65	49.64	3.12	0.00
219	9.68	4900	65	56.33	3.11	0.00
217	9.01	4585	65	52.54	3.00	0.00
236	9.39	3999	66	56.50	3.33	0.00
224	9.20	2884	65	52.74	2.96	0.00
217	9.38	14240	66	53.90	3.37	0.00
234	9.15	2595	68	57.75	3.13	0.00
209	9.38	5547	67	54.91	3.09	0.00
210	9.54	10126	65	55.33	3.52	0.00
224	11.37	3472	66	53.87	3.18	0.00
226	10.76	21564	66	47.31	3.20	0.00
228	10.17	2789	66	43.44	3.06	0.00
233	10.18	3743	65	52.40	3.13	0.00
227	9.99	8482	66	48.87	3.25	0.00
225	10.09	15847	66	52.19	3.13	0.00
195	9.46	23655	66	42.52	3.01	0.00
224	10.10	20147	65	49.71	3.12	0.00
241	10.56	13682	65	49.65	3.23	0.00
208	10.24	30856	65	50.35	3.16	0.00
235	10.26	3377	66	52.24	3.16	0.00
216	8.90	2866	66	52.03	3.04	0.00
227	10.47	3671	66	54.31	3.17	0.00
240	10.43	3150	66	53.57	3.14	0.00
236	10.06	6047	66	56.68	3.24	0.00
214	9.67	16670	66	51.17	3.17	0.00
225	9.57	3303	66	58.40	3.14	0.00
214	9.14	4361	66	55.01	3.18	0.00
204	8.91	2714	66	50.38	2.95	0.00
207	8.96	8990	66	52.70	3.04	0.00
208	8.80	5152	66	52.76	3.16	0.00
220	9.39	2800	66	52.54	3.09	0.00
210	9.05	3022	66	50.15	3.07	0.00
221	9.89	13166	67	55.06	3.28	0.00
194	9.25	11455	66	52.33	3.14	0.00
215	9.82	21359	66	54.27	3.27	0.00
200	8.99	10404	66	49.44	3.05	0.00
214	8.93	10111	67	54.41	3.08	0.00
224	9.25	4950	67	55.26	3.20	0.00
217	9.03	4085	66	52.28	3.06	0.00
213	8.99	4314	66	53.23	3.10	0.00
201	8.34	3922	67	54.52	3.17	0.00
230	9.72	3965	66	54.79	3.17	0.00
224	9.52	3653	66	50.08	3.06	0.00
230	10.41	17724	66	51.16	3.15	0.00
216	10.76	14458	65	42.87	3.11	0.00
232	11.13	18672	67	50.75	3.25	0.00
235	10.98	3765	66	52.69	3.19	0.00
232	10.18	9851	66	53.55	3.26	0.00
216	11.94	3310	68	47.40	3.17	0.00
280	11.17	3649	67	64.18	3.17	0.00
230	9.63	5505	67	56.74	3.26	0.00
232	9.80	7211	66	57.13	3.51	0.00
240	10.79	6193	67	56.58	3.29	0.00
217	9.09	3460	67	53.58	3.15	0.00
210	8.97	6090	66	51.91	3.12	0.00
212	8.55	3669	67	56.72	3.19	0.00
214	9.18	4096	66	54.45	3.03	0.00
214	9.35	6670	67	53.81	3.27	0.00
221	9.63	15149	67	56.18	3.53	0.00
234	10.67	12876	68	50.67	3.32	0.00
238	10.78	10634	67	47.85	3.57	0.00
237	10.27	5640	67	54.40	3.32	0.00
248	10.37	7222	67	60.67	3.45	0.00
229	9.39	7033	66	57.46	3.45	0.00
226	9.42	9350	66	58.80	3.71	0.00
238	9.64	6611	67	57.81	3.26	0.00
215	8.87	10889	67	57.75	3.41	0.00
231	9.61	7751	67	57.53	3.31	0.00
246	10.97	8569	67	53.02	3.78	0.00
229	10.34	7778	67	54.71	3.71	0.00
236	9.73	6347	68	54.96	3.31	0.00
236	10.40	14086	67	57.74	4.08	0.00
241	10.47	6299	67	52.00	3.54	0.00
239	10.40	7681	68	53.47	3.62	0.00
222	9.31	11693	68	57.11	3.73	0.00
217	9.63	18315	68	57.03	3.61	0.00
237	10.55	8438	68	54.11	3.72	0.00
226	9.82	6196	67	52.41	3.35	0.00
218	9.46	5951	68	54.22	3.18	0.00
234	10.26	8865	67	57.40	3.82	0.00
227	10.20	10710	66	51.53	3.32	0.00
229	9.30	11013	68	59.19	3.51	0.00
231	10.42	5051	67	56.11	3.50	0.00
237	10.68	12746	68	51.88	3.37	0.00
252	11.25	16352	67	53.68	4.17	0.00
243	10.82	13948	68	55.37	4.03	0.00
271	12.48	20514	69	56.14	4.80	0.00
242	9.98	4456	68	58.63	3.29	0.00
227	10.16	5478	68	53.78	3.33	0.00
227	11.31	4025	68	50.86	3.17	0.00
224	10.05	10619	67	47.44	3.22	0.00
232	9.63	3008	68	54.24	3.13	0.00
213	9.60	13881	68	53.89	3.14	0.00
221	10.79	12995	68	54.23	3.18	0.00
233	9.99	3412	67	53.61	3.09	0.00
218	9.26	11728	67	54.17	3.07	0.00
206	9.29	8107	68	53.37	3.12	0.00
205	9.04	11759	68	52.12	3.04	0.00
218	10.00	32935	67	56.01	3.22	0.00
192	9.10	21764	68	52.12	3.12	0.00
218	9.42	3310	67	49.85	3.13	0.00
224	10.25	3213	67	47.43	3.15	0.00
232	10.44	6630	68	46.56	3.20	0.00
222	10.29	4058	68	57.69	3.21	0.00
215	10.08	11948	68	54.24	3.18	0.00
199	9.42	23052	68	53.59	3.19	0.00
207	9.10	15195	67	52.95	3.13	0.00
197	8.31	3613	67	53.62	2.98	0.00
210	9.03	6016	67	52.28	3.06	0.00
216	8.59	4364	67	55.89	2.99	0.00
204	8.04	3460	67	55.95	2.97	0.00
214	8.80	5330	68	56.38	3.13	0.00
218	9.01	3220	67	53.69	3.04	0.00
209	9.15	14888	68	51.57	3.07	0.00
211	8.71	7245	67	56.22	3.16	0.00
219	8.64	3102	68	56.38	2.96	0.00
193	8.28	6260	67	54.52	3.10	0.00
210	8.61	10254	68	58.08	3.41	0.00
207	8.48	2297	67	54.16	2.92	0.00
225	10.30	5241	67	47.38	3.10	0.00
228	9.90	5685	67	53.57	3.07	0.00
205	8.90	4152	67	51.81	3.14	0.00
223	9.69	17816	68	56.54	3.34	0.00
226	9.90	5201	67	49.16	3.43	0.00
221	9.39	2567	67	53.07	3.08	0.00
210	9.01	3506	67	52.12	3.10	0.00
206	9.24	17315	67	51.36	3.20	0.00
211	9.12	6201	67	54.91	3.13	0.00
237	10.09	5278	67	51.50	3.09	0.00
218	9.30	6253	68	52.72	3.17	0.00
215	8.65	4166	66	56.08	3.13	0.00
212	9.03	4483	67	54.55	3.15	0.00
191	8.46	13161	68	54.09	3.08	0.00
204	8.33	6441	68	55.54	3.03	0.00
210	9.18	5530	68	53.25	3.24	0.00
225	9.34	4755	67	53.21	3.17	0.00
218	9.06	3348	67	54.28	3.05	0.00
221	9.17	4406	68	54.45	3.15	0.00
214	8.83	6227	67	55.55	3.13	0.00
206	9.39	29380	68	54.90	3.19	0.00
202	8.35	5171	68	55.68	2.99	0.00
201	8.77	17514	68	55.92	3.15	0.00
203	8.73	3763	68	54.41	3.12	0.00
209	9.00	5447	67	51.47	3.08	0.00
211	9.02	5279	68	52.72	3.16	0.00
203	8.76	2621	68	50.17	3.02	0.00
218	9.35	10332	68	53.59	3.09	0.00
210	8.89	6536	67	54.67	2.99	0.00
211	8.99	3342	67	55.09	3.15	0.00
198	8.09	5358	67	54.67	3.02	0.00
119	6.04	2807	66	39.22	3.22	0.00
133	5.98	8576	66	44.21	3.15	0.00
64	3.74	1540	66	25.71	2.40	0.00
3	0.27	812	65	13.94	1.41	0.00
4	0.33	1395	65	15.98	1.63	0.00
4	0.30	979	65	15.09	1.51	0.00
5	0.41	314	65	14.92	1.48	0.00
