Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.30	1176	61	13.58	1.48	0.00
4	0.31	913	62	13.63	1.48	0.00
4	0.32	1126	61	13.74	1.52	0.00
4	0.37	1375	62	14.07	1.53	0.00
3	0.28	803	61	12.91	1.39	0.00
4	0.31	1306	62	13.85	1.48	0.00
3	0.29	993	60	13.06	1.48	0.00
4	0.30	1291	62	13.40	1.43	0.00
3	0.27	663	60	11.88	1.25	0.00
4	0.30	994	60	13.33	1.43	0.00
4	0.31	1331	61	13.85	1.47	0.00
4	0.31	731	60	12.54	1.38	0.00
4	0.33	1158	62	14.03	1.57	0.00
34	2.53	11103	63	25.20	2.94	0.00
37	2.65	12681	61	26.60	3.13	0.00
36	2.67	12808	63	26.65	3.13	0.00
36	2.65	12851	64	26.74	3.12	0.00
36	2.67	12605	62	26.46	3.13	0.00
36	2.63	12765	65	26.42	3.17	0.00
36	2.65	12475	63	26.54	3.15	0.00
37	2.67	12635	63	26.63	3.14	0.00
36	2.73	12802	63	26.77	3.15	0.00
36	2.72	12701	64	26.73	3.15	0.00
37	2.68	12817	63	26.74	3.14	0.00
35	2.72	12723	61	26.70	3.16	0.00
37	2.67	12945	63	26.88	3.13	0.00
36	2.66	12481	62	26.59	3.13	0.00
39	2.85	13089	62	27.02	3.16	0.00
66	4.83	23326	63	29.62	3.17	0.00
68	5.06	24062	63	29.83	3.17	0.00
69	5.08	24566	62	30.09	3.17	0.00
70	5.04	23903	62	29.89	3.17	0.00
69	5.08	24389	63	30.10	3.18	0.00
70	5.07	24219	62	30.01	3.18	0.00
70	4.97	24249	62	29.85	3.17	0.00
69	5.04	24044	61	29.77	3.18	0.00
69	5.07	24414	63	30.10	3.16	0.00
69	5.10	24383	64	30.07	3.17	0.00
69	4.98	23984	63	30.05	3.18	0.00
68	5.06	24394	62	30.07	3.18	0.00
70	5.03	24321	63	29.98	3.16	0.00
102	7.00	32583	64	32.63	3.17	0.00
105	7.51	35640	63	33.42	3.18	0.00
105	7.47	36057	65	33.90	3.17	0.00
107	7.44	35581	64	33.43	3.16	0.00
105	7.50	36070	65	33.93	3.15	0.00
112	7.52	35796	64	33.49	3.17	0.00
105	7.30	35680	64	33.50	3.18	0.00
106	7.46	36032	64	33.64	3.18	0.00
106	7.32	35822	63	33.64	3.17	0.00
105	7.40	35710	64	33.50	3.18	0.00
106	7.45	35703	65	33.62	3.19	0.00
135	9.25	43658	64	35.98	3.21	0.00
153	10.26	47046	64	36.28	3.19	0.00
148	9.90	47350	65	36.88	3.17	0.00
153	10.06	47370	65	36.52	3.16	0.00
145	9.92	47635	64	36.67	3.17	0.00
150	10.05	47448	65	36.69	3.18	0.00
143	9.77	47252	65	37.22	3.20	0.00
150	10.02	47447	63	36.70	3.16	0.00
146	9.80	47154	64	36.98	3.17	0.00
146	10.04	47302	64	36.61	3.20	0.00
144	9.93	47221	65	36.24	3.19	0.00
144	9.78	47534	63	37.04	3.18	0.00
150	10.08	47390	65	36.91	3.18	0.00
183	12.06	57515	64	39.42	3.18	0.00
196	12.73	58588	64	39.80	3.19	0.00
184	12.24	58944	65	40.16	3.18	0.00
180	12.22	58815	64	40.26	3.19	0.00
191	12.73	58934	65	39.77	3.17	0.00
