Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.31	1343	64	15.17	1.70	0.00
3	0.29	843	63	13.37	1.47	0.00
4	0.31	1037	63	14.44	1.61	0.00
4	0.31	943	64	14.32	1.64	0.00
4	0.31	1080	62	14.14	1.53	0.00
4	0.30	1243	64	15.28	1.74	0.00
4	0.30	1048	63	14.13	1.55	0.00
4	0.31	1137	62	14.18	1.55	0.00
4	0.30	970	63	14.14	1.60	0.00
3	0.29	967	63	13.84	1.56	0.00
32	1.56	1220	63	18.53	1.90	0.00
145	5.52	3336	65	47.60	3.07	0.00
131	5.10	1806	65	45.95	2.89	0.00
141	6.38	6315	64	39.90	3.29	0.00
123	5.98	2794	64	38.60	3.09	0.00
144	6.56	2967	66	44.55	3.23	0.00
124	5.83	9876	64	36.14	3.17	0.00
126	6.32	11771	64	37.43	3.27	0.00
150	6.64	3158	64	43.33	3.30	0.00
142	6.12	1933	65	40.90	3.11	0.00
128	5.51	3381	65	45.47	3.06	0.00
139	6.00	3178	65	41.28	3.20	0.00
137	6.16	3356	65	39.83	3.19	0.00
198	9.37	15251	65	43.00	3.32	0.00
255	11.15	5417	65	58.88	3.27	0.00
278	11.30	3222	65	58.61	3.24	0.00
258	10.27	4168	66	60.39	3.21	0.00
242	10.32	18724	66	57.75	3.03	0.00
227	11.63	29805	65	57.46	3.28	0.00
249	12.76	4393	65	49.00	3.23	0.00
266	12.18	26637	65	56.17	3.22	0.00
271	11.28	16789	65	63.23	3.21	0.00
253	10.49	5338	66	57.61	3.10	0.00
283	11.14	6212	67	64.05	3.23	0.00
303	12.44	6171	66	64.79	3.32	0.00
390	17.97	18781	66	62.27	3.87	0.00
424	18.67	15143	67	62.17	3.28	0.00
420	16.79	3172	67	72.73	3.22	0.00
388	15.71	10532	67	70.23	3.26	0.00
410	17.46	6516	67	70.16	3.48	0.00
396	16.92	7245	67	68.18	3.38	0.00
399	17.45	29068	67	68.80	4.34	0.00
382	18.32	15671	67	57.92	3.67	0.00
436	19.13	16438	66	65.73	3.55	0.00
520	23.84	24235	66	76.44	3.54	0.00
571	23.24	14146	67	82.63	3.27	0.00
581	24.22	8415	68	82.00	3.35	0.00
524	23.17	21655	66	69.03	3.38	0.00
543	23.92	22500	68	72.82	3.41	0.00
563	24.14	12662	67	77.05	4.00	0.00
524	22.91	6036	67	78.87	3.34	0.00
540	23.48	8615	67	81.00	3.38	0.00
585	24.30	11352	67	84.96	3.35	0.00
588	24.19	16860	68	86.48	4.06	0.00
558	22.38	5651	67	84.66	3.22	0.00
561	23.05	6067	68	81.45	3.29	0.00
551	22.91	17446	68	81.94	3.63	0.00
571	25.67	68749	67	83.32	3.42	0.00
685	29.23	10419	68	89.99	3.67	0.00
711	29.96	29389	68	92.47	4.10	0.00
694	30.39	25558	69	89.94	3.91	0.00
714	30.24	23510	70	92.35	4.15	0.00
699	29.59	34996	69	93.21	4.93	0.00
639	29.02	25141	70	86.17	3.78	0.00
728	29.10	15635	70	95.95	3.74	0.00
721	29.34	16941	69	97.68	3.95	0.00
688	29.72	27238	69	92.67	5.12	0.00
681	29.97	47230	69	91.00	6.01	0.00
747	30.54	12927	70	95.27	3.84	0.00
738	30.58	30258	69	96.30	7.47	0.00
733	30.56	37971	70	95.50	7.27	0.00
833	35.11	78648	70	103.75	7.39	0.00
819	34.85	104765	70	102.54	7.36	0.00
831	34.73	92324	70	104.31	7.70	0.00
855	36.40	32923	70	104.84	4.52	0.00
808	34.91	82676	70	101.39	7.14	0.00
854	35.58	26907	70	104.64	4.41	0.00
828	35.01	70081	70	102.92	7.11	0.00
903	36.54	19098	70	106.65	3.95	0.00
841	36.39	71099	71	101.34	7.27	0.00
868	35.54	63122	71	109.16	6.95	0.00
861	36.21	40797	71	102.77	5.24	0.00
1024	42.07	21264	72	115.68	3.96	0.00
967	40.57	67034	71	112.04	6.60	0.00
954	40.20	84966	72	109.23	7.57	0.00
1016	42.56	31940	72	113.99	4.06	0.00
955	41.46	46249	72	111.04	5.34	0.00
1017	42.27	20915	72	114.52	4.67	0.00
1001	41.59	64652	72	113.48	5.91	0.00
1000	41.24	61650	72	113.56	6.01	0.00
1024	42.92	21138	72	115.90	4.04	0.00
996	42.31	53369	72	113.13	5.75	0.00
1012	42.83	63705	72	114.54	6.40	0.00
968	41.47	74704	72	112.54	6.46	0.00
944	40.05	87779	71	108.65	6.56	0.00
1023	42.54	95988	72	115.21	7.13	0.00
1135	47.26	60097	73	118.38	5.77	0.00
1164	48.23	50115	72	122.04	4.59	0.00
1122	47.39	63752	73	120.43	5.86	0.00
1157	47.50	72028	73	121.66	6.92	0.00
1107	47.40	86486	73	116.16	6.41	0.00
1143	47.67	67352	72	118.75	5.74	0.00
1054	44.57	132540	72	117.61	8.32	0.00
1082	44.51	137843	73	114.78	8.58	0.00
1006	42.95	133230	74	106.53	8.28	0.00
1088	46.14	111475	74	118.15	8.54	0.00
1077	45.34	126965	74	115.47	8.68	0.00
1092	46.97	96112	75	115.95	7.81	0.00
1058	45.89	121788	74	109.90	8.03	0.00
1195	47.81	74229	75	128.16	7.04	0.00
1130	46.89	104224	74	119.32	7.32	0.00
1167	48.83	34461	73	122.90	5.26	0.00
1181	47.81	62759	73	125.68	6.47	0.00
1148	47.40	72795	74	121.14	6.94	0.00
1142	47.86	57962	75	122.42	5.66	0.00
1153	48.34	67430	75	123.73	6.44	0.00
1159	48.24	45971	74	122.25	4.96	0.00
1177	48.35	47902	75	124.76	5.74	0.00
1136	47.23	67031	75	117.52	6.43	0.00
1050	43.59	153731	75	113.12	8.71	0.00
1133	46.89	94319	75	120.46	6.94	0.00
1180	48.45	24027	75	121.99	4.03	0.00
1174	48.24	47003	74	124.88	5.13	0.00
1176	48.06	62065	75	123.17	6.53	0.00
1166	48.40	69984	75	123.80	7.78	0.00
1096	45.53	115294	75	115.99	8.15	0.00
1041	44.95	115190	75	112.29	7.83	0.00
1166	48.28	65771	75	121.46	6.39	0.00
1160	47.46	69468	75	121.44	5.55	0.00
1186	47.94	61532	76	122.58	6.11	0.00
1196	48.59	31692	76	127.21	5.09	0.00
1170	48.81	38664	76	122.65	4.70	0.00
1201	48.40	40867	76	128.39	4.75	0.00
1176	48.32	52002	76	119.15	4.63	0.00
1165	47.12	76331	76	122.81	6.33	0.00
1162	47.77	86748	77	123.06	7.31	0.00
1187	48.60	56947	77	124.91	6.58	0.00
1169	48.04	73509	77	123.96	6.03	0.00
1082	44.51	122855	76	113.75	8.52	0.00
1097	47.05	62820	77	118.27	4.93	0.00
1128	46.60	91568	77	119.61	6.68	0.00
1065	43.93	126239	76	115.69	8.07	0.00
1072	46.44	86445	77	113.74	5.89	0.00
1151	46.53	82373	76	121.07	5.74	0.00
993	42.63	124743	76	103.34	7.95	0.00
1027	43.15	136788	77	107.83	8.51	0.00
985	41.52	117134	77	104.24	7.66	0.00
1115	46.97	65016	77	118.57	6.13	0.00
1096	46.28	91587	75	117.91	7.13	0.00
981	41.68	124272	77	102.26	7.78	0.00
1123	46.22	101613	77	115.95	7.18	0.00
1148	46.69	88510	76	120.66	6.63	0.00
