Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.32	1098	65	13.97	1.47	0.00
4	0.29	1201	64	14.51	1.50	0.00
3	0.29	974	65	14.35	1.55	0.00
4	0.30	1156	64	14.31	1.46	0.00
4	0.31	1168	65	14.71	1.55	0.00
4	0.31	994	65	14.33	1.49	0.00
3	0.28	896	64	13.75	1.49	0.00
4	0.31	1162	65	14.65	1.54	0.00
4	0.31	1207	65	14.62	1.55	0.00
4	0.30	710	64	13.86	1.51	0.00
36	1.87	10664	65	20.93	2.17	0.00
90	4.51	31370	65	34.69	3.17	0.00
92	4.60	30959	66	32.19	3.15	0.00
93	4.57	30862	66	32.28	3.17	0.00
90	4.74	31067	65	31.83	3.17	0.00
93	4.55	30772	66	32.74	3.16	0.00
95	4.59	31209	66	32.98	3.16	0.00
95	4.57	31133	65	33.05	3.17	0.00
92	4.61	30669	66	32.55	3.13	0.00
90	4.57	31004	66	32.76	3.16	0.00
91	4.66	30835	65	32.26	3.15	0.00
89	4.69	30744	66	31.87	3.14	0.00
91	4.57	30967	66	32.71	3.15	0.00
90	4.66	30943	66	32.26	3.15	0.00
95	4.53	30929	66	33.68	3.17	0.00
88	4.41	30721	65	35.18	3.17	0.00
95	5.02	31917	66	32.81	3.17	0.00
175	8.59	60034	65	41.46	3.15	0.00
178	8.61	60294	65	40.22	3.18	0.00
170	8.77	61314	66	40.22	3.18	0.00
166	8.26	59918	65	45.37	3.21	0.00
165	8.24	60090	65	45.76	3.19	0.00
167	8.50	60026	66	44.58	3.19	0.00
174	8.52	60112	65	41.94	3.19	0.00
176	8.54	60605	66	42.59	3.18	0.00
176	8.68	60201	66	41.00	3.19	0.00
172	8.67	60113	66	41.10	3.18	0.00
152	7.90	60146	66	52.77	3.18	0.00
171	8.56	59859	66	40.31	3.18	0.00
186	8.81	61097	65	40.00	3.14	0.00
182	8.80	59903	66	39.55	3.15	0.00
269	13.03	89903	66	45.87	3.17	0.00
270	12.90	89546	66	45.91	3.17	0.00
270	13.11	90116	66	45.99	3.18	0.00
262	12.35	90118	67	49.95	3.16	0.00
264	12.63	89690	67	47.65	3.18	0.00
269	12.76	89786	65	48.35	3.17	0.00
270	12.78	92322	66	48.36	3.17	0.00
252	12.24	92120	65	53.45	3.19	0.00
