Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.30	1087	63	13.41	1.36	0.00
4	0.30	1183	62	13.72	1.48	0.00
3	0.29	1001	62	13.42	1.36	0.00
4	0.31	1227	62	14.71	1.58	0.00
6	0.43	795	63	13.40	1.41	0.00
91	4.46	30068	65	31.74	3.13	0.00
96	4.51	31019	65	33.95	3.17	0.00
89	4.57	31009	64	34.41	3.16	0.00
97	4.62	30993	65	32.50	3.16	0.00
144	7.08	47600	65	37.66	3.15	0.00
179	8.72	60185	64	39.83	3.18	0.00
184	8.87	60098	64	38.83	3.17	0.00
177	8.54	61257	66	41.80	3.15	0.00
181	8.82	62327	65	45.43	3.17	0.00
258	12.38	90524	65	50.19	3.18	0.00
257	12.26	89949	65	51.44	3.21	0.00
247	12.54	89670	66	50.27	3.19	0.00
248	12.42	89028	66	52.56	3.18	0.00
261	12.99	89399	64	45.38	3.18	0.00
261	12.55	91138	66	48.90	3.18	0.00
241	11.94	89545	66	54.21	3.18	0.00
273	12.69	90735	66	48.53	3.19	0.00
264	12.34	89811	66	49.72	3.20	0.00
253	11.94	91313	65	56.37	3.18	0.00
267	12.40	90856	65	50.28	3.19	0.00
261	12.14	89300	66	51.11	3.19	0.00
266	12.51	89843	65	48.75	3.19	0.00
278	13.00	90606	65	46.26	3.21	0.00
267	12.73	89972	66	47.69	3.17	0.00
248	11.88	90446	66	55.39	3.18	0.00
246	11.86	89787	67	55.32	3.18	0.00
270	12.72	89896	66	47.16	3.18	0.00
250	12.28	89695	66	51.94	3.16	0.00
258	12.09	92453	66	55.79	3.19	0.00
270	12.71	90897	66	49.38	3.19	0.00
249	12.54	89794	65	49.25	3.19	0.00
274	13.05	90185	65	45.90	3.20	0.00
271	12.82	91032	66	48.25	3.19	0.00
268	12.84	90107	66	47.45	3.20	0.00
269	12.99	91068	66	46.71	3.19	0.00
265	12.52	92261	66	52.01	3.20	0.00
272	12.53	91696	67	52.21	3.19	0.00
279	12.97	89927	66	46.03	3.17	0.00
273	13.08	90033	66	45.80	3.19	0.00
272	12.98	89002	66	46.74	3.18	0.00
272	13.09	90280	66	45.77	3.17	0.00
267	12.71	89890	66	47.37	3.18	0.00
272	12.64	91839	65	50.40	3.20	0.00
285	13.09	92660	67	46.71	3.19	0.00
288	13.19	92339	66	46.73	3.17	0.00
281	13.00	90449	67	46.37	3.16	0.00
263	12.23	89414	67	50.74	3.16	0.00
264	12.80	90169	66	48.56	3.17	0.00
255	12.16	89799	68	51.34	3.18	0.00
265	12.60	90759	66	49.49	3.17	0.00
266	12.87	90059	66	46.41	3.16	0.00
258	12.35	90042	66	51.55	3.17	0.00
262	12.94	89115	66	46.74	3.17	0.00
265	12.41	90500	66	49.18	3.15	0.00
254	12.14	90575	66	51.09	3.16	0.00
249	11.91	90914	68	55.56	3.17	0.00
274	13.06	90160	67	47.32	3.17	0.00
260	12.69	90073	68	47.88	3.14	0.00
268	13.01	90742	66	46.74	3.15	0.00
