Connecting to host 10.45.0.8, port 5208
[  4] local 10.45.0.1 port 51295 connected to 10.45.0.8 port 5208
[  4]  63.00-64.00  sec  3.45 GBytes  29.6 Gbits/sec    0   4.18 MBytes       
[  4]  64.00-65.00  sec  2.92 GBytes  25.1 Gbits/sec    0   4.18 MBytes       
[  4]  65.00-66.00  sec  2.65 GBytes  22.7 Gbits/sec    0   4.18 MBytes       
[  4]  66.00-67.00  sec  3.18 GBytes  27.3 Gbits/sec    0   4.18 MBytes       
[  4]  67.00-68.00  sec  2.72 GBytes  23.4 Gbits/sec    0   4.18 MBytes       
[  4]  68.00-69.00  sec  2.26 GBytes  19.4 Gbits/sec    0   4.18 MBytes       
[  4]  69.00-70.00  sec  3.29 GBytes  28.2 Gbits/sec    0   4.18 MBytes       
[  4]  70.00-71.00  sec  2.93 GBytes  25.1 Gbits/sec    0   4.18 MBytes       
[  4]  71.00-72.00  sec  3.04 GBytes  26.1 Gbits/sec    0   4.18 MBytes       
[  4]  72.00-73.00  sec  2.63 GBytes  22.6 Gbits/sec    0   4.18 MBytes       
[  4]  73.00-74.00  sec  2.42 GBytes  20.8 Gbits/sec    0   4.18 MBytes       
[  4]  74.00-75.00  sec  3.24 GBytes  27.9 Gbits/sec    0   4.18 MBytes       
[  4]  75.00-76.00  sec  3.75 GBytes  32.2 Gbits/sec    0   4.18 MBytes       
[  4]  76.00-77.00  sec  2.71 GBytes  23.3 Gbits/sec    0   4.18 MBytes       
[  4]  77.00-78.00  sec  2.92 GBytes  25.1 Gbits/sec    0   4.18 MBytes       
[  4]  78.00-79.00  sec  3.05 GBytes  26.2 Gbits/sec    0   4.18 MBytes       
[  4]  79.00-80.00  sec  2.58 GBytes  22.1 Gbits/sec    0   4.18 MBytes       
[  4]  80.00-81.00  sec  2.49 GBytes  21.4 Gbits/sec    0   4.18 MBytes       
[  4]  81.00-82.00  sec  3.53 GBytes  30.3 Gbits/sec    0   4.18 MBytes       
[  4]  82.00-83.00  sec  2.77 GBytes  23.8 Gbits/sec    0   4.18 MBytes       
[  4]  83.00-84.00  sec  2.95 GBytes  25.3 Gbits/sec    0   4.18 MBytes       
[  4]  84.00-85.00  sec  3.16 GBytes  27.1 Gbits/sec    0   4.18 MBytes       
[  4]  85.00-86.00  sec  2.78 GBytes  23.9 Gbits/sec    0   4.18 MBytes       
[  4]  86.00-87.00  sec  2.93 GBytes  25.2 Gbits/sec    0   4.18 MBytes       
[  4]  87.00-88.00  sec  2.48 GBytes  21.3 Gbits/sec    0   4.18 MBytes       
[  4]  88.00-89.00  sec  3.30 GBytes  28.4 Gbits/sec    0   4.18 MBytes       
[  4]  89.00-90.00  sec  2.85 GBytes  24.5 Gbits/sec    0   4.18 MBytes       
[  4]  90.00-91.00  sec  3.02 GBytes  25.9 Gbits/sec    0   4.18 MBytes       
[  4]  91.00-92.00  sec  3.03 GBytes  26.0 Gbits/sec    0   4.18 MBytes       
[  4]  92.00-93.00  sec  2.74 GBytes  23.5 Gbits/sec    0   4.18 MBytes       
[  4]  93.00-94.00  sec  2.63 GBytes  22.6 Gbits/sec    0   4.18 MBytes       
[  4]  94.00-95.00  sec  2.18 GBytes  18.7 Gbits/sec    0   4.18 MBytes       
[  4]  95.00-96.00  sec  2.27 GBytes  19.5 Gbits/sec    0   4.18 MBytes       
[  4]  96.00-97.00  sec  3.35 GBytes  28.8 Gbits/sec    1   4.18 MBytes       
[  4]  97.00-98.00  sec  3.74 GBytes  32.1 Gbits/sec    0   4.18 MBytes       
[  4]  98.00-99.00  sec  3.41 GBytes  29.3 Gbits/sec    0   4.18 MBytes       
[  4]  99.00-100.00 sec  2.42 GBytes  20.8 Gbits/sec    0   4.18 MBytes       
[  4] 100.00-101.00 sec  3.07 GBytes  26.3 Gbits/sec    0   4.18 MBytes       
[  4] 101.00-102.00 sec  3.24 GBytes  27.8 Gbits/sec    0   4.18 MBytes       
[  4] 102.00-103.00 sec  2.99 GBytes  25.7 Gbits/sec    0   4.18 MBytes       
[  4] 103.00-104.00 sec  2.69 GBytes  23.1 Gbits/sec    0   4.18 MBytes       
[  4] 104.00-105.00 sec  2.71 GBytes  23.3 Gbits/sec    0   4.18 MBytes       
[  4] 105.00-106.00 sec  2.88 GBytes  24.8 Gbits/sec    0   4.18 MBytes       
[  4] 106.00-107.00 sec  3.30 GBytes  28.3 Gbits/sec    0   4.18 MBytes       
[  4] 107.00-108.00 sec  2.74 GBytes  23.5 Gbits/sec    0   4.18 MBytes       
[  4] 108.00-109.00 sec  3.09 GBytes  26.5 Gbits/sec    0   4.18 MBytes       
[  4] 109.00-110.00 sec  2.84 GBytes  24.4 Gbits/sec    0   4.18 MBytes       
[  4] 110.00-111.00 sec  2.92 GBytes  25.1 Gbits/sec    0   4.18 MBytes       
[  4] 111.00-112.00 sec  2.85 GBytes  24.5 Gbits/sec    0   4.18 MBytes       
[  4] 112.00-113.00 sec  2.74 GBytes  23.5 Gbits/sec    0   4.18 MBytes       
[  4] 113.00-114.00 sec  2.62 GBytes  22.5 Gbits/sec    0   4.18 MBytes       
[  4] 114.00-115.00 sec  3.34 GBytes  28.7 Gbits/sec    0   4.18 MBytes       
[  4] 115.00-116.00 sec  3.00 GBytes  25.7 Gbits/sec    0   4.18 MBytes       
[  4] 116.00-117.00 sec  3.00 GBytes  25.8 Gbits/sec    0   4.18 MBytes       
[  4] 117.00-118.00 sec  2.92 GBytes  25.1 Gbits/sec    0   4.18 MBytes       
[  4] 118.00-119.00 sec  2.73 GBytes  23.4 Gbits/sec    0   4.18 MBytes       
[  4] 119.00-120.00 sec  3.10 GBytes  26.6 Gbits/sec    0   4.18 MBytes       
[  4] 120.00-121.00 sec  2.72 GBytes  23.4 Gbits/sec    0   4.18 MBytes       
[  4] 121.00-122.00 sec  2.84 GBytes  24.4 Gbits/sec    0   4.18 MBytes       
[  4] 122.00-123.00 sec  2.88 GBytes  24.8 Gbits/sec    0   4.18 MBytes       
[  4] 123.00-123.61 sec  1.87 GBytes  26.3 Gbits/sec    0   4.18 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-123.61 sec   360 GBytes  25.0 Gbits/sec    1             sender
[  4]   0.00-123.61 sec  0.00 Bytes  0.00 bits/sec                  receiver
iperf3: interrupt - the client has terminated
