timestamp_ms,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_drops,tx_drops
1747229526873,0,976,0,18,0,0
1747229527881,0,976,0,18,0,0
1747229528887,0,976,0,18,0,0
1747229529894,0,976,0,18,0,0
1747229530901,0,976,0,18,0,0
1747229531910,0,976,0,18,0,0
1747229532918,0,976,0,18,0,0
1747229533926,0,976,0,18,0,0
1747229534934,0,976,0,18,0,0
1747229535943,0,976,0,18,0,0
1747229536950,0,976,0,18,0,0
1747229537958,0,976,0,18,0,0
1747229538965,0,976,0,18,0,0
1747229539985,0,976,0,18,0,0
1747229541008,0,976,0,18,0,0
1747229542020,0,976,0,18,0,0
1747229543039,0,976,0,18,0,0
1747229544046,0,976,0,18,0,0
1747229545053,0,976,0,18,0,0
1747229546059,0,976,0,18,0,0
1747229547068,0,976,0,18,0,0
1747229548082,0,976,0,18,0,0
1747229549090,0,976,0,18,0,0
1747229550102,0,976,0,18,0,0
1747229551112,0,976,0,18,0,0
1747229552128,0,976,0,18,0,0
1747229553139,0,976,0,18,0,0
1747229554150,0,976,0,18,0,0
1747229555159,0,976,0,18,0,0
1747229556169,0,976,0,18,0,0
1747229557181,0,976,0,18,0,0
1747229558191,0,976,0,18,0,0
1747229559201,0,976,0,18,0,0
1747229560214,0,976,0,18,0,0
1747229561223,0,976,0,18,0,0
1747229562231,0,976,0,18,0,0
1747229563240,0,976,0,18,0,0
1747229564249,0,976,0,18,0,0
1747229565258,0,976,0,18,0,0
1747229566267,0,976,0,18,0,0
1747229567276,0,976,0,18,0,0
1747229568284,0,976,0,18,0,0
1747229569293,0,976,0,18,0,0
1747229570302,0,976,0,18,0,0
1747229571310,0,976,0,18,0,0
1747229572319,0,976,0,18,0,0
1747229573327,0,976,0,18,0,0
1747229574336,0,976,0,18,0,0
1747229575344,0,976,0,18,0,0
1747229576353,0,976,0,18,0,0
1747229577361,0,976,0,18,0,0
1747229578370,0,976,0,18,0,0
1747229579379,0,976,0,18,0,0
1747229580387,0,976,0,18,0,0
1747229581396,0,976,0,18,0,0
1747229582404,0,976,0,18,0,0
1747229583412,0,976,0,18,0,0
1747229584420,0,976,0,18,0,0
1747229585429,0,976,0,18,0,0
1747229586438,0,976,0,18,0,0
1747229587447,0,976,0,18,0,0
1747229588456,0,976,0,18,0,0
1747229589465,0,976,0,18,0,0
1747229590473,0,976,0,18,0,0
1747229591482,0,976,0,18,0,0
1747229592491,0,976,0,18,0,0
1747229593498,0,976,0,18,0,0
1747229594507,0,976,0,18,0,0
1747229595515,0,976,0,18,0,0
1747229596522,0,976,0,18,0,0
1747229597530,0,976,0,18,0,0
1747229598537,0,976,0,18,0,0
1747229599545,0,976,0,18,0,0
1747229600553,0,976,0,18,0,0
1747229601562,0,976,0,18,0,0
1747229602571,0,976,0,18,0,0
1747229603579,0,976,0,18,0,0
1747229604587,0,976,0,18,0,0
1747229605596,0,976,0,18,0,0
1747229606604,0,976,0,18,0,0
1747229607612,0,976,0,18,0,0
1747229608621,0,976,0,18,0,0
1747229609629,0,976,0,18,0,0
1747229610638,0,976,0,18,0,0
1747229611647,0,976,0,18,0,0
1747229612656,0,976,0,18,0,0
1747229613664,0,976,0,18,0,0
1747229614673,0,976,0,18,0,0
1747229615682,0,976,0,18,0,0
1747229616690,0,976,0,18,0,0
1747229617701,0,976,0,18,0,0
1747229618712,0,976,0,18,0,0
1747229619722,0,976,0,18,0,0
1747229620735,0,976,0,18,0,0
1747229621747,0,976,0,18,0,0
1747229622760,0,976,0,18,0,0
1747229623772,0,976,0,18,0,0
1747229624781,0,976,0,18,0,0
1747229625788,0,976,0,18,0,0
1747229626795,0,976,0,18,0,0
1747229627801,0,976,0,18,0,0
1747229628808,0,976,0,18,0,0
1747229629814,0,976,0,18,0,0
1747229630820,0,976,0,18,0,0
1747229631827,0,976,0,18,0,0
1747229632835,0,976,0,18,0,0
1747229633844,0,976,0,18,0,0
1747229634851,0,976,0,18,0,0
1747229635859,0,976,0,18,0,0
1747229636866,0,976,0,18,0,0
1747229637871,0,976,0,18,0,0
1747229638882,0,976,0,18,0,0
1747229639889,0,976,0,18,0,0
1747229640899,0,976,0,18,0,0
1747229641909,0,976,0,18,0,0
1747229642921,0,976,0,18,0,0
1747229643931,0,976,0,18,0,0
1747229644940,0,976,0,18,0,0
1747229645950,0,976,0,18,0,0
1747229646958,0,976,0,18,0,0
1747229647967,0,976,0,18,0,0
1747229648976,0,976,0,18,0,0
1747229649984,0,976,0,18,0,0
1747229650993,0,976,0,18,0,0
1747229652002,0,976,0,18,0,0
1747229653011,0,976,0,18,0,0
1747229654019,0,976,0,18,0,0
1747229655028,0,976,0,18,0,0
1747229656036,0,976,0,18,0,0
1747229657045,0,976,0,18,0,0
1747229658053,0,976,0,18,0,0
1747229659062,0,976,0,18,0,0
1747229660071,0,976,0,18,0,0
1747229661079,0,976,0,18,0,0
1747229662087,0,976,0,18,0,0
1747229663096,0,976,0,18,0,0
1747229664105,0,976,0,18,0,0
1747229665113,0,976,0,18,0,0
1747229666123,0,976,0,18,0,0
1747229667132,0,976,0,18,0,0
1747229668141,0,976,0,18,0,0
1747229669149,0,976,0,18,0,0
1747229670157,0,976,0,18,0,0
1747229671164,0,976,0,18,0,0
1747229672171,0,976,0,18,0,0
1747229673178,0,976,0,18,0,0
1747229674186,0,976,0,18,0,0
1747229675193,0,976,0,18,0,0
1747229676201,0,976,0,18,0,0
1747229677209,0,976,0,18,0,0
1747229678217,0,976,0,18,0,0
1747229679226,0,976,0,18,0,0
1747229680234,0,976,0,18,0,0
1747229681242,0,976,0,18,0,0
1747229682252,0,976,0,18,0,0
1747229683261,0,976,0,18,0,0
1747229684269,0,976,0,18,0,0
1747229685277,0,976,0,18,0,0
