timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747229525871,20.32	1784	66	33.88	4.00
1747229527897,19.79	1749	66	31.49	3.94
1747229529923,20.72	1824	66	31.94	3.94
1747229531949,19.42	1802	65	31.28	3.87
1747229533984,19.85	1806	65	34.23	4.02
1747229536012,18.84	1770	66	31.37	3.94
1747229538042,19.76	1747	65	31.26	3.90
1747229540069,19.53	1747	66	31.40	3.93
1747229542097,20.44	1776	65	34.99	4.00
1747229544123,19.44	1712	65	31.59	3.99
1747229546147,19.39	1805	65	31.51	3.89
1747229548173,19.04	1818	66	31.93	3.97
1747229550199,19.86	1850	67	34.84	4.04
1747229552221,18.77	1860	66	31.48	3.94
1747229554247,19.14	1849	66	31.63	3.85
1747229556272,18.50	1784	65	30.45	3.88
1747229558318,19.58	1849	65	34.59	4.02
1747229560350,18.92	1826	66	31.44	4.00
1747229562384,18.76	1827	66	31.11	3.96
1747229564449,19.85	1677	65	32.50	4.01
1747229566506,23.31	1606	65	33.81	4.17
1747229568609,18.22	1808	65	31.84	3.94
1747229570640,18.36	1831	66	32.28	4.01
1747229572663,19.44	1887	66	32.96	4.02
1747229574693,20.26	1914	66	35.31	4.01
1747229576727,19.42	1874	66	32.02	3.94
1747229578772,18.65	1855	66	31.30	3.82
1747229580809,19.19	1856	66	34.06	4.01
1747229582855,19.23	1840	66	33.23	4.03
1747229584887,18.66	1825	66	31.12	3.85
1747229586915,19.20	1784	66	31.32	3.90
1747229588944,19.91	1762	65	33.78	4.06
1747229590978,19.58	1697	67	31.58	3.97
1747229593015,19.37	1711	67	31.15	3.87
1747229595039,19.66	1673	66	30.97	3.91
1747229597059,20.57	1806	67	34.89	4.10
1747229599122,21.96	1485	67	32.65	4.04
1747229601167,25.10	1210	66	29.59	4.22
1747229603294,25.11	1217	66	29.19	4.16
1747229605334,26.24	1221	66	29.25	4.14
1747229607411,22.58	1535	66	34.23	4.12
1747229609448,24.58	1200	65	29.16	4.16
1747229611485,24.55	1200	65	28.84	4.08
1747229613532,24.70	1200	65	28.44	4.03
1747229615582,21.33	1552	67	34.94	4.14
1747229617628,23.43	1205	65	28.81	4.10
1747229619668,22.91	1221	67	28.50	4.02
1747229621704,22.69	1218	64	28.18	3.97
1747229623752,17.98	1677	65	31.53	3.85
1747229626826,18.04	1717	66	32.04	3.90
1747229628853,18.66	1747	66	33.06	3.96
1747229630912,18.74	1774	67	34.26	4.00
1747229632933,18.54	1770	65	32.49	3.92
1747229634960,19.01	1798	67	32.30	3.94
1747229636987,19.28	1811	66	32.18	3.91
1747229639018,20.22	1822	65	33.83	4.07
1747229641058,20.11	1775	65	32.11	3.98
1747229643081,20.65	1699	66	31.74	3.96
1747229645104,20.07	1807	66	32.35	3.95
1747229647128,20.28	1808	66	34.83	4.07
1747229649178,19.28	1804	66	32.06	3.93
1747229651201,19.17	1807	66	32.31	3.99
1747229653235,19.61	1819	67	32.02	3.95
1747229655280,20.29	1845	66	34.42	4.02
1747229657326,19.54	1842	65	32.75	3.99
1747229659359,19.13	1809	65	31.72	3.93
1747229661377,18.94	1807	66	31.29	3.84
1747229663404,19.36	1822	65	33.60	4.05
1747229665448,18.96	1811	67	32.46	4.02
1747229667480,20.06	1641	67	30.80	3.87
1747229669535,19.60	1693	66	31.29	3.92
1747229671575,20.15	1745	65	32.62	3.97
1747229673602,19.53	1783	66	32.30	4.01
1747229675624,20.19	1833	67	32.77	4.04
1747229677664,19.70	1821	65	31.70	3.97
1747229679707,19.75	1867	66	33.63	4.03
1747229681737,19.66	1843	67	32.40	4.03
1747229683775,19.01	1808	67	31.25	3.93
1747229685818,19.90	1829	66	32.42	4.00
1747229687883,19.98	1780	66	34.37	4.10
1747229689912,19.95	1721	66	32.27	4.08
1747229691941,20.15	1659	66	32.08	4.07
1747229693974,20.83	1609	67	31.72	4.06
1747229696003,20.77	1740	66	33.44	4.03
1747229698028,20.43	1772	66	32.66	4.01
1747229700089,20.20	1755	65	31.98	3.96
1747229702114,19.86	1740	66	31.69	4.00
1747229704144,20.15	1772	66	33.16	4.13
1747229706190,20.43	1747	66	32.58	4.04
1747229708246,19.69	1761	66	31.84	3.95
1747229710271,19.87	1813	67	32.38	4.06
1747229712291,20.07	1840	66	32.87	4.05
1747229714355,19.91	1863	67	32.21	3.96
1747229716382,20.63	1855	67	32.04	3.99
1747229718460,20.82	1607	67	30.60	3.98
1747229720507,20.94	1687	67	33.27	4.07
1747229722550,19.54	1830	65	32.00	3.95
1747229724585,18.96	1812	66	31.16	3.91
1747229726623,19.34	1863	67	31.75	3.93
1747229728650,20.53	1829	66	32.78	4.09
1747229730696,20.24	1862	66	32.89	4.05
1747229732781,19.19	1811	66	32.10	4.00
1747229734809,19.04	1832	65	31.37	3.92
1747229736840,20.41	1844	66	33.24	3.99
1747229738914,19.65	1769	65	31.39	3.86
1747229740950,20.22	1782	66	31.81	3.87
1747229742999,21.08	1691	66	31.72	3.92
1747229745085,20.60	1771	65	34.13	4.03
1747229747134,19.71	1798	66	32.39	3.95
1747229749162,19.20	1811	66	31.78	3.88
1747229751185,19.33	1803	65	31.72	3.94
1747229753206,21.24	1819	65	34.69	4.11
1747229755272,19.78	1884	65	31.95	3.89
1747229757298,19.17	1835	67	31.42	3.93
1747229759330,19.22	1817	65	31.50	3.93
1747229761366,20.23	1874	66	33.33	3.87
1747229763409,19.75	1802	65	32.21	3.97
1747229765438,19.94	1753	65	32.18	4.02
1747229767477,20.79	1633	65	31.30	4.04
1747229769531,20.99	1775	66	34.22	3.97
1747229771565,20.06	1854	66	32.90	3.97
1747229773623,19.58	1809	66	31.97	3.94
1747229775643,19.56	1830	66	32.03	3.98
1747229777670,19.36	1845	67	32.25	3.98
1747229779718,23.43	1236	66	28.23	3.89
1747229781871,26.23	1207	66	29.37	4.13
1747229783966,26.47	1207	65	30.26	4.26
1747229786051,26.29	1214	65	29.95	4.16
1747229788109,24.57	1221	66	30.04	4.18
1747229790182,24.96	1209	65	29.74	4.18
1747229792230,24.48	1227	66	29.32	4.08
1747229794270,25.20	1259	67	30.83	4.24
1747229796317,23.48	1270	66	30.19	4.19
1747229798381,23.91	1233	67	29.49	4.16
1747229800453,24.01	1212	65	29.32	4.14
1747229802512,25.51	1209	66	30.47	4.23
1747229804566,19.73	1659	66	34.19	4.13
1747229806595,18.62	1676	65	32.89	3.98
1747229808625,18.91	1705	65	33.34	4.02
1747229810663,19.68	1751	65	34.16	4.04
1747229812684,20.57	1760	66	36.88	4.13
1747229814725,19.76	1721	66	32.99	4.07
1747229816748,19.79	1691	67	32.59	4.03
1747229818777,19.85	1767	66	33.56	4.03
1747229820802,20.14	1787	65	35.01	4.13
1747229822842,19.83	1758	66	32.54	4.03
1747229824889,20.20	1761	66	32.65	4.00
1747229826922,20.27	1756	65	33.62	4.04
1747229828962,19.90	1762	67	34.22	4.12
1747229831005,20.45	1734	67	32.85	4.01
1747229833034,19.38	1770	67	32.79	3.96
1747229835060,19.67	1808	66	34.70	4.06
1747229837089,20.02	1844	65	33.23	4.02
1747229839114,19.49	1805	66	32.52	3.99
1747229841160,18.98	1811	66	31.67	3.88
1747229843196,19.24	1824	66	34.46	4.09
1747229845245,23.18	1335	66	31.17	4.19
1747229847295,24.54	1226	66	28.82	4.12
1747229849339,24.45	1224	65	29.35	4.18
1747229851381,25.14	1213	66	29.49	4.16
1747229853421,27.78	1241	66	31.62	4.28
1747229855499,24.35	1200	65	29.84	4.21
1747229857540,25.24	1200	66	29.95	4.23
1747229859576,25.19	1200	66	30.37	4.24
1747229861695,22.79	1435	64	32.76	4.17
1747229863733,23.82	1200	66	29.87	4.21
1747229865770,24.05	1207	67	29.80	4.18
1747229867805,23.75	1227	65	30.09	4.23
1747229869841,20.93	1634	66	34.54	4.12
1747229872969,19.07	1734	68	33.68	4.02
1747229874994,19.27	1735	67	32.99	4.01
1747229877019,18.96	1799	66	33.08	4.03
1747229879045,19.87	1804	67	33.12	3.99
1747229882148,19.64	1796	67	33.15	4.04
1747229884193,19.55	1778	68	32.45	3.99
1747229886233,19.27	1796	66	34.05	4.12
1747229888290,19.88	1790	65	32.79	4.02
1747229890333,19.61	1793	66	32.41	3.96
1747229892371,19.88	1786	66	32.69	3.97
1747229894401,21.66	1794	65	34.29	4.09
1747229896440,21.11	1783	66	33.59	4.11
1747229898473,21.46	1731	65	32.73	4.07
1747229900512,20.91	1778	66	32.96	4.05
1747229902556,21.76	1782	65	34.49	4.14
1747229904587,21.52	1753	66	33.18	4.10
1747229906610,21.31	1777	66	32.66	4.03
1747229908642,21.54	1802	65	33.31	4.04
1747229910670,20.19	1818	65	32.93	4.01
1747229912703,25.77	1266	67	31.44	4.22
1747229914812,27.75	1200	66	29.87	4.21
1747229916861,27.25	1200	67	29.63	4.15
1747229918926,28.39	1208	67	30.24	4.23
1747229920962,25.07	1256	66	30.56	4.15
1747229923004,26.16	1200	66	29.71	4.16
1747229925041,26.83	1201	65	29.46	4.12
1747229927123,27.66	1205	66	30.49	4.20
1747229929155,20.15	1615	65	34.83	4.08
1747229931242,25.91	1200	65	30.05	4.21
1747229933287,25.48	1200	65	29.81	4.20
1747229935376,26.79	1200	66	31.06	4.29
