timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747228198770,14.21	1625	66	25.71	3.55
1747228200803,14.65	1617	64	26.22	3.64
1747228202832,15.41	1646	64	28.39	3.74
1747228204865,15.05	1675	65	26.92	3.68
1747228206894,14.73	1705	66	26.63	3.61
1747228208928,15.46	1677	65	27.23	3.73
1747228210968,16.35	1588	64	28.28	3.85
1747228213008,16.09	1443	65	25.95	3.63
1747228215038,14.61	1669	65	27.07	3.68
1747228217070,14.52	1680	65	26.63	3.57
1747228219108,15.31	1732	65	29.08	3.77
1747228221152,14.34	1668	65	26.48	3.62
1747228223192,15.01	1727	66	27.05	3.68
1747228225224,14.15	1676	64	26.48	3.61
1747228227255,13.88	1664	65	27.14	3.67
1747228229284,13.91	1665	65	26.60	3.65
1747228231310,13.94	1661	65	25.93	3.54
1747228233349,13.93	1677	66	26.15	3.54
1747228235388,14.64	1666	64	27.67	3.65
1747228237421,14.84	1616	65	27.40	3.73
1747228239449,15.11	1559	66	26.61	3.64
1747228241482,14.31	1640	66	26.99	3.65
1747228243518,14.95	1653	66	27.21	3.65
1747228245561,14.28	1682	64	26.89	3.67
1747228247594,14.47	1669	66	26.77	3.65
1747228249633,14.57	1694	65	26.83	3.64
1747228251662,14.74	1708	66	26.30	3.50
1747228253711,14.83	1707	66	26.81	3.61
1747228255744,15.19	1713	65	27.30	3.64
1747228257775,15.17	1695	66	27.41	3.67
1747228259810,15.52	1713	65	27.56	3.68
1747228261861,14.77	1641	66	26.53	3.62
1747228263892,14.82	1604	65	26.65	3.64
1747228265922,15.06	1578	65	26.51	3.64
1747228267957,15.04	1680	66	27.93	3.66
1747228269997,14.44	1657	65	26.89	3.65
1747228272027,14.75	1733	65	27.16	3.56
1747228274055,14.89	1739	65	26.99	3.62
1747228276085,16.00	1720	64	29.61	3.81
1747228278129,15.14	1680	65	27.37	3.73
1747228280170,15.09	1660	65	27.10	3.67
1747228282205,15.44	1699	65	27.84	3.73
1747228284231,16.35	1669	66	28.77	3.82
1747228286265,15.08	1700	65	27.24	3.67
1747228288297,14.58	1692	66	27.07	3.65
1747228290346,15.41	1704	66	27.39	3.73
1747228292370,15.78	1670	65	29.78	3.75
1747228294405,15.92	1472	65	26.19	3.65
1747228296433,14.30	1659	66	27.35	3.71
1747228298469,14.34	1653	65	26.87	3.65
1747228300503,15.37	1713	65	29.45	3.75
1747228302549,14.22	1651	65	27.09	3.64
1747228304579,14.28	1667	66	26.40	3.61
1747228306632,14.40	1696	65	26.78	3.62
1747228308668,15.93	1768	65	30.60	3.78
1747228310702,15.51	1713	65	27.07	3.66
1747228312730,15.92	1723	65	28.48	3.82
1747228314760,15.34	1648	65	27.59	3.74
1747228316793,15.89	1696	65	29.28	3.77
1747228318830,16.13	1714	65	28.14	3.77
1747228320865,15.69	1591	64	26.68	3.66
1747228322904,16.02	1561	64	27.34	3.77
1747228324940,16.22	1658	65	29.91	3.77
1747228326972,14.84	1687	65	27.00	3.61
1747228329013,15.18	1740	64	27.66	3.71
1747228331042,15.16	1737	65	27.81	3.70
1747228333074,15.66	1752	66	30.37	3.78
1747228335118,14.42	1730	65	27.24	3.63
1747228337154,14.28	1718	66	26.98	3.65
1747228339182,14.98	1768	64	28.56	3.69
1747228341218,15.22	1771	65	29.73	3.75
1747228343256,14.17	1720	65	26.31	3.53
1747228345291,14.94	1747	65	27.54	3.72
1747228347324,15.22	1759	65	30.37	3.87
1747228349361,15.50	1669	65	28.78	3.77
