timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747228567402,17.30	1576	64	28.06	3.78
1747228569442,15.96	1642	65	27.59	3.70
1747228571472,15.58	1741	65	27.75	3.65
1747228573502,15.43	1747	65	27.64	3.64
1747228575535,15.16	1738	64	28.07	3.72
1747228577565,15.59	1743	65	28.45	3.73
1747228579596,15.80	1733	66	28.04	3.71
1747228581625,16.95	1797	66	28.80	3.77
1747228583659,17.10	1781	66	29.12	3.81
1747228585704,16.70	1786	66	29.06	3.80
1747228587735,15.86	1696	65	28.47	3.79
1747228589767,15.92	1642	65	27.81	3.71
1747228591798,17.60	1582	65	28.52	3.78
1747228593837,15.91	1690	65	27.84	3.66
1747228595877,15.83	1726	66	28.20	3.68
1747228597906,15.78	1724	65	27.87	3.63
1747228599944,16.25	1761	66	28.84	3.69
1747228601994,15.64	1760	65	28.22	3.70
1747228604022,15.82	1767	66	28.40	3.72
1747228606062,15.72	1714	65	28.00	3.67
1747228608101,16.94	1743	65	30.30	3.78
1747228610134,15.69	1698	65	28.18	3.71
1747228612169,15.80	1708	66	28.31	3.72
1747228614196,15.81	1684	65	27.93	3.68
1747228616228,18.47	1603	66	29.44	3.86
1747228618262,15.91	1701	65	27.91	3.64
1747228620308,15.89	1684	65	28.00	3.69
1747228622347,15.41	1725	65	27.86	3.67
1747228624377,16.67	1783	65	31.20	3.86
1747228626421,15.41	1712	65	27.46	3.64
1747228628462,15.20	1733	65	27.64	3.63
1747228630488,15.57	1728	65	27.71	3.65
1747228632513,16.34	1807	65	30.78	3.74
1747228634537,16.17	1767	66	28.08	3.61
1747228636560,16.17	1753	65	28.46	3.78
1747228638587,15.76	1716	65	27.88	3.66
1747228640614,17.50	1735	65	30.68	3.86
1747228642644,16.80	1630	65	28.52	3.80
1747228644674,17.09	1586	65	28.31	3.77
1747228646705,16.91	1564	65	27.92	3.72
1747228648739,17.05	1712	66	31.71	3.86
1747228650769,17.10	1765	66	29.31	3.83
1747228652796,15.90	1720	66	28.15	3.66
1747228654827,15.86	1717	66	28.21	3.70
1747228656859,16.44	1782	65	31.26	3.79
1747228658883,15.55	1740	66	27.46	3.58
1747228660915,15.55	1730	65	27.21	3.53
1747228662944,15.35	1722	65	27.59	3.64
1747228664998,16.83	1789	65	32.15	3.91
1747228667029,16.02	1762	65	28.31	3.66
1747228669058,16.10	1703	65	28.08	3.69
1747228671089,18.53	1561	66	28.07	3.74
1747228673130,19.72	1563	65	30.66	3.98
1747228675156,15.57	1722	66	28.22	3.72
1747228677182,15.83	1752	64	28.51	3.74
1747228679209,15.58	1738	65	27.73	3.63
1747228681266,16.63	1790	65	31.71	3.80
1747228683296,15.99	1727	66	28.42	3.67
1747228685323,16.17	1733	65	29.07	3.85
1747228687350,16.68	1756	66	29.66	3.85
1747228689386,16.90	1775	65	32.11	3.88
1747228691413,16.00	1753	65	28.84	3.79
1747228693440,16.56	1783	65	28.72	3.74
1747228695466,16.56	1713	66	30.13	3.80
1747228697498,18.43	1607	65	30.35	3.98
1747228699535,16.60	1600	65	27.73	3.71
1747228701571,15.79	1696	65	28.31	3.71
1747228703591,16.39	1753	65	28.99	3.71
1747228705621,17.05	1779	65	32.07	3.85
1747228707652,16.12	1754	64	28.49	3.74
1747228709683,16.09	1740	65	27.64	3.62
1747228711722,16.33	1746	64	29.60	3.76
1747228713753,16.81	1776	65	30.84	3.81
1747228715775,15.90	1692	65	27.77	3.73
1747228717803,16.10	1708	65	28.82	3.79
1747228719829,16.49	1728	64	30.74	3.86
1747228721858,17.34	1752	65	30.52	3.91
1747228723933,17.11	1672	66	28.63	3.85
