timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747099588814,8.64	1804	64	29.33	3.39
1747099590847,8.81	1822	64	31.16	3.46
1747099592885,9.06	1847	66	31.42	3.49
1747099594929,8.78	1810	65	30.53	3.37
1747099596959,9.38	1766	65	29.37	3.37
1747099598993,9.62	1729	65	30.88	3.48
1747099601024,8.82	1726	65	31.00	3.41
1747099603052,8.96	1801	66	30.29	3.43
1747099605084,8.58	1834	65	29.54	3.27
1747099607115,9.39	1723	66	30.20	3.55
1747099609160,9.04	1828	64	30.86	3.47
1747099611188,8.70	1834	65	30.25	3.37
1747099613220,8.58	1829	65	30.28	3.34
1747099615249,9.24	1855	65	39.05	3.44
1747099617276,9.03	1844	64	31.52	3.42
1747099619305,8.97	1803	65	31.46	3.44
1747099621341,9.29	1815	65	30.99	3.42
1747099623393,8.82	1822	66	31.79	3.48
1747099625437,9.00	1751	66	30.18	3.39
1747099627467,8.94	1844	67	30.44	3.34
1747099629499,8.97	1770	66	30.84	3.44
1747099631544,10.00	1773	65	30.89	3.40
1747099633576,9.56	1724	64	29.38	3.42
1747099635608,9.31	1684	65	29.83	3.59
1747099637667,8.98	1817	65	31.34	3.40
1747099639699,9.32	1842	65	31.66	3.37
1747099641739,9.02	1810	65	30.48	3.30
1747099643771,9.23	1835	64	30.00	3.28
1747099645802,10.30	1818	66	31.58	3.37
1747099647832,9.18	1832	65	30.62	3.36
1747099649863,8.77	1830	65	30.83	3.40
1747099651907,9.33	1815	65	31.22	3.39
1747099653940,9.19	1795	65	31.13	3.42
1747099655984,8.46	1775	66	29.47	3.26
1747099658013,9.09	1818	66	31.10	3.38
1747099660043,8.68	1831	65	29.76	3.32
1747099662073,8.70	1837	65	30.33	3.31
1747099664102,8.71	1827	64	30.54	3.42
1747099666131,9.13	1848	65	30.65	3.47
1747099668168,8.83	1839	65	30.00	3.36
1747099670200,8.86	1851	65	29.90	3.36
1747099672232,8.90	1841	66	30.49	3.35
1747099674266,8.96	1844	66	30.71	3.33
1747099676296,9.32	1845	66	31.18	3.39
1747099678344,8.90	1819	66	29.79	3.37
1747099680373,8.96	1841	66	31.01	3.44
1747099682404,9.08	1816	66	31.03	3.51
1747099684448,8.64	1837	67	29.74	3.24
1747099686478,8.73	1784	65	28.82	3.28
1747099688507,8.80	1822	67	30.87	3.46
1747099690537,8.20	1849	66	32.66	3.23
1747099692566,9.42	1734	66	30.43	3.40
1747099694596,8.88	1782	65	30.26	3.44
1747099696626,8.95	1822	66	30.53	3.41
1747099698660,8.72	1799	66	29.95	3.39
1747099700691,8.91	1760	66	30.36	3.45
1747099702738,8.70	1802	66	30.07	3.33
1747099704768,8.95	1830	66	31.44	3.48
1747099706809,8.93	1847	66	30.22	3.35
1747099708837,10.22	1631	66	30.12	3.56
1747099710878,9.59	1830	66	31.32	3.51
1747099712927,8.77	1802	66	30.95	3.34
1747099714960,8.84	1823	67	30.44	3.37
1747099716990,8.92	1841	66	30.57	3.40
1747099719039,9.34	1813	66	31.19	3.52
1747099721073,9.33	1719	66	29.62	3.51
1747099723112,8.75	1804	66	30.65	3.43
1747099725144,9.71	1810	66	31.55	3.49
1747099727195,10.07	1768	67	34.76	3.54
1747099729235,8.80	1825	66	30.84	3.46
1747099731285,8.96	1828	66	30.18	3.35
1747099733315,7.87	1847	66	35.76	3.32
1747099735348,8.87	1795	65	29.71	3.43
1747099737380,8.89	1766	67	29.65	3.51
1747099739444,8.87	1847	66	29.37	3.33
1747099741474,8.48	1797	67	33.93	3.42
1747099743505,8.97	1827	67	30.86	3.34
1747099745545,9.00	1837	65	31.98	3.52
1747099747604,8.67	1831	66	31.22	3.40
1747099749659,8.96	1790	66	30.30	3.40
1747099751695,9.09	1823	67	31.53	3.43
1747099753734,8.80	1806	67	30.73	3.35
1747099755766,8.82	1781	66	30.05	3.41
